id,clee_denue2026,clee_maryhelen_mh2,nombre_denue2026,nombre_maryhelen_mh2,cambio_clee,cambio_nombre
8089452,21074812210000451001000000U8,21074812210000451000000000U8,LAVANDERIA RUGLAS,LAVANDERIA RUGLAS,True,False
8089453,21074316991000031010000000U4,21074316991000031000000000U4,TIENDA EL JARDIN,TIENDA EL JARDIN,True,False
8090329,21074461130001251010000000U5,21074461130001251000000000U5,RECAUDERIA GABY,RECAUDERIA GABY,True,False
8090339,21074461190000451010000000U6,21074461190000451000000000U6,MUEBLERIA,MUEBLERIA,True,False
8090390,21074931210000191001000000U6,21074931210000191000000000U6,PRESIDENCIA AUXILIAR,PRESIDENCIA AUXILIAR,True,False
8090460,21074315229001953001000000U4,21074315229001953000000000U4,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
8090566,21074624122000021001000000U4,21074624122000021000000000U4,ESTANCIA DE DIA SANTA ANA XALMIMILULCO,ESTANCIA DE DIA SANTA ANA XALMIMILULCO,True,False
8090571,21074461213000141010000000U3,21074461213000141000000000U3,TIENDA LA PEQUE�A,TIENDA LA PEQUE�A,True,False
8090627,21074461110007991010000000U2,21074461110007991000000000U2,SUPER CHARRITO,SUPER CHARRITO,True,False
8090628,21074315229002012001000000U8,21074315229002012000000000U8,TALLER DE MAQUILA DE CAMISA,TALLER DE MAQUILA DE CAMISA,True,False
8090635,21074315229002042001000000U5,21074315229002042000000000U5,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
8090636,21074315229002053001000000U2,21074315229002053000000000U2,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
8090637,21074621211000382001000000U4,21074621211000382000000000U4,CONSULTORIO DENTAL DENSESS,CONSULTORIO DENTAL DENSESS,True,False
8111992,21074467113000141100000000U9,21074467113000141000000000S9,COMEX,COMEX,True,False
8118929,21074463211001361110000000U8,21074463211001361000000000U8,BARBERIA DENY,BARBERIA DENY,True,False
8118994,21074315229002083001000000U9,21074315229002083000000000U9,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
8119045,21074722517000411100000000U9,21074722517000411000000000S9,YAJUU PIZZAS,YAJUU PIZZAS,True,False
8119051,21074722513000592001000000U5,21074722513000592000000000U5,ELABORACION DE BARBACOA,ELABORACION DE BARBACOA,True,False
8119556,21132461121002071100000000U1,21132461121002071000000000U1,CARNICERIA JUANITA,CARNICERIA JUANITA,True,False
8119633,21132811192000961110000000U3,21132811192000961000000000U3,TIENDA LA ESCONDIDA,TIENDA LA ESCONDIDA,True,False
8271520,21074461130001071010000000U7,21074461130001071000000000U7,TIENDA ECONO SUPER,TIENDA ECONO SUPER,True,False
8271577,21074461110007021010000000U8,21074461110007021000000000U8,TIENDA VIANEY JHOVANNY,TIENDA VIANEY JHOVANNY,True,False
8271583,21074812110001701100000000U7,21074812110001701000000000U7,ESTETICA SIN NOMBRE,ESTETICA SIN NOMBRE,True,False
8272047,21074722515000423001000000U8,21074722515000423000000000U8,COOPERATIVA ESCOLAR SIN NOMBRE,COOPERATIVA ESCOLAR SIN NOMBRE,True,False
8493131,21074325993000033101039265M5,21074325993000033000039265M5,RESINAS DE ALTO RENDIMIENTO,RESINAS DE ALTO RENDIMIENTO,True,False
8559472,21074315229001513101000000U6,21074315229001513000000000U6,MAQUILA DE PANTALON,MAQUILA DE PANTALON,True,False
8559575,21074315229001522001000000U7,21074315229001522000000000U7,MAQUILA DE PANTALONES SIN NOMBRE,MAQUILA DE PANTALONES SIN NOMBRE,True,False
8559589,21074315229001541001000000U7,21074315229001541000000000U7,BORDADOS SOLIS,BORDADOS SOLIS,True,False
8559635,21074463211001061010000000U4,21074463211001061000000000U4,PAPELERIA SIN NOMBRE,PAPELERIA SIN NOMBRE,True,False
8559641,21074466212000301110000000U0,21074466212000301000000000U0,ACCESORIOS PARA AUTOS ABA SHAMA,ACCESORIOS PARA AUTOS ABA SHAMA,True,False
