campo_estandar,columna_detectada
nombre_establecimiento,nombre_de_la_unidad_economica
actividad_economica,codigo_de_la_clase_actividad_scian
codigo_scian,codigo_de_la_clase_actividad_scian
latitud,latitud
longitud,longitud
