municipio_nombre,actividad_codigo,actividad_nombre,estrato,ue,h001a,h020a,h010a,m000a,m700a,personal_promedio,proporcion_familiar,proporcion_remunerado,ingresos_por_ue,maquila_sobre_ingresos,lectura_metodologica
Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,0 a 10,5.0,21.0,7.0,14.0,5.013,4.031,4.2,0.3333333333333333,0.6666666666666666,1.0026,0.8041093157789746,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
Huejotzingo,314,"Fabricación de productos textiles, excepto prendas de vestir",0 a 10,19.0,44.0,28.0,14.0,3.353,0.755,2.3157894736842106,0.6363636363636364,0.3181818181818182,0.17647368421052634,0.22517148821950492,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
Puebla total,313,Fabricación de insumos textiles y acabado de textiles,0 a 10,2997.0,4105.0,3692.0,404.0,280.753,23.572,1.3697030363697031,0.8993909866017052,0.09841656516443362,0.093678011344678,0.0839599220667277,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
Puebla total,315,Fabricación de prendas de vestir,0 a 10,6137.0,16030.0,9022.0,6902.0,1828.429,776.44,2.612025419586117,0.5628197130380537,0.43056768558951963,0.2979353104122536,0.42464870115273823,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
San Martín Texmelucan,314,"Fabricación de productos textiles, excepto prendas de vestir",0 a 10,28.0,70.0,38.0,32.0,13.335,0.546,2.5,0.5428571428571428,0.45714285714285713,0.47625,0.04094488188976378,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
San Martín Texmelucan,315,Fabricación de prendas de vestir,0 a 10,303.0,753.0,465.0,277.0,111.623,28.99,2.485148514851485,0.6175298804780877,0.36786188579017265,0.3683927392739274,0.25971349990593334,"Estrato SAIC 0 a 10: evidencia agregada municipal de unidades pequenas. No identifica negocios ni permite ubicarlos espacialmente, pero ayuda a inferir actividad pequena que podria no observarse completamente en DENUE."
