id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,categoria_final,estado_auditoria,notas_auditoria,categoria_auditada,categoria_auditada_normalizada,notas_auditoria_audit,region_auditoria
3325813,21074313210000056111000000U9,INDUSTRIAS MAQUIN,313230,19.1613441,-98.39156164,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313210000056111000000u9 industrias maquin 313230 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313230,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",921.240971064623,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
3325963,21074315225000111000000000U8,SONIA MENDEZ NOVIAS,315225,19.16396502,-98.40408051,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000111000000000u8 sonia mendez novias 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1041.6673268475884,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
8271641,21074465915000021010000000U3,CREACIONES MAYRA,315224,19.16529124,-98.40650601,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074465915000021010000000u3 creaciones mayra 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",363.02028706415024,False,False,True,True,250-500 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
10118182,21074812210000811000000000U3,CLEAN CLOTHES,812210,19.14838929,-98.40590617,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000811000000000u3 clean clothes 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",604.9447386743516,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
10205167,21074313210000083000000000U3,BODEGA PUNTO FINO EN TELAS,313210,19.16269282,-98.38682009,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313210000083000000000u3 bodega punto fino en telas 313210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1062.5231882058863,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
10340864,21074812210000731000000000U3,TINTOWASH,812210,19.16123838,-98.40864821,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000731000000000u3 tintowash 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1184.0365846332002,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6378222,21074315191000014013000000U8,MARTINTER,315122,19.14389571,-98.38613242,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315191000014013000000u8 martinter 315122 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315122,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1139.9312904544468,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6380168,21074313113000045001000000U8,VERTICAL SPIN,313112,19.15782475,-98.38511663,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313113000045001000000u8 vertical spin 313112 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313112,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",339.0207525277182,False,False,True,True,250-500 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6380169,21074313113000035010000000U9,TRITON INDUSTRIAL,313112,19.16088818,-98.38644329,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313113000035010000000u9 triton industrial 313112 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313112,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",101.19118992559518,False,True,True,True,100-250 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6856149,21074315191000026011000000U2,SEAMLESS GLOBAL SOLUTIONS,315122,19.16263095,-98.38664062,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315191000026011000000u2 seamless global solutions 315122 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315122,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1232.9655493201437,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6874492,21074313240000014000000000U5,TITAN TEXTIL ,313240,19.16048969,-98.38637504,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313240000014000000000u5 titan textil 313240 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313240,textil,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",582.2260636269618,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6874618,21074313112000065100000000U8,HIDRA TEXTIL,313112,19.16038291,-98.38635676,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313112000065100000000u8 hidra textil 313112 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313112,textil,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",806.9482026696959,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
6875485,21074313112000075002000000U7,GRUPO PORTATEX,313112,19.16162098,-98.3870298,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074313112000075002000000u7 grupo portatex 313112 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,313112,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",592.7731565464154,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
8271868,21074315224000011000000000U3,TRAJES DE CARNAVAL LA CASA DEL CARNAVAL,315224,19.16042259,-98.40712901,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315224000011000000000u3 trajes de carnaval la casa del carnaval 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1141.1324911112138,False,False,False,False,>1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
8272057,21074315224000021000000000U2,TRAJES DE CARNAVAL SIN NOMBRE,315224,19.16808812,-98.40523461,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315224000021000000000u2 trajes de carnaval sin nombre 315224 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315224,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",674.8507246458815,False,False,False,True,500-1000 m,pendiente_auditoria,pendiente_auditoria,,,,,huejotzingo
