ruta,nombre_archivo,carpeta_origen,numero_features,geometria,crs,columnas_disponibles,tipos_columnas,bounds_extension_espacial,estado,error
data\raw\hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba\RH28Ba_hl.shp,RH28Ba_hl.shp,hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba,3817,LineString,EPSG:4019,ID; CVE_SUBC; CLAVE50K; TIPO; ENTIDAD; FC; CONDICION; EDICION; FECHA; LENGTHM; ID_DRENA; FLOWDIR; ENABLED; DESC_ENABL; CALI_REPR; SEQUENCEID; ORDER_1; LEVEL_1; ARBSUM_1; PATHL_1,ID:int64; CVE_SUBC:object; CLAVE50K:object; TIPO:int64; ENTIDAD:object; FC:int64; CONDICION:object; EDICION:object; FECHA:datetime64[ms]; LENGTHM:float64; ID_DRENA:int32; FLOWDIR:int64; ENABLED:int32; DESC_ENABL:object; CALI_REPR:int64; SEQUENCEID:float64; ORDER_1:int64; LEVEL_1:int64; ARBSUM_1:float64; PATHL_1:float64,"{""minx"": -97.25958086149997, ""miny"": 18.742261199999998, ""maxx"": -96.10168713849997, ""maxy"": 19.128251507699993}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba\RH28Ba_subc.shp,RH28Ba_subc.shp,hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba,1,Polygon,EPSG:4019,ID; CVE_SUBCUE; CVE_RH; RH; CVE_CUE; CUENCA; CVE_SUBC; SUBCUENCA; AREA_KM2; PERIMETRO; TIPO; DRENAJE1; DESCARGA1; DRENAJE2; DESCARGA2; DRENAJE3; DESCARGA3; DRENAJE4; DESCARGA4; TOT_DESC,ID:float64; CVE_SUBCUE:object; CVE_RH:object; RH:object; CVE_CUE:object; CUENCA:object; CVE_SUBC:object; SUBCUENCA:object; AREA_KM2:float64; PERIMETRO:float64; TIPO:object; DRENAJE1:object; DESCARGA1:int32; DRENAJE2:object; DESCARGA2:int32; DRENAJE3:object; DESCARGA3:int32; DRENAJE4:object; DESCARGA4:int32; TOT_DESC:int32,"{""minx"": -97.26874482327962, ""miny"": 18.741722090120334, ""maxx"": -96.0944136412797, ""maxy"": 19.129020599120345}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba\RH28Ba_to.shp,RH28Ba_to.shp,hidrografia_atoyac\RH28Ba\RH28\RH28B\RH28Ba,56,Point,EPSG:4019,JOIN_COUNT; FC; IDENTIFICA; LATITUD; LONGITUD; X_CCL; X_UTM; Y_CCL; Y_UTM; CALI_REPR; CLASE; TERMINO_GE; NOMBRE; NOMBRE_COM; NOMBRE_REG; CARTA; GEOMETRIA_; COMOD; CVE_EDO; NOM_EDOM; CVE_MUN; NOM_MUNM,JOIN_COUNT:float64; FC:object; IDENTIFICA:object; LATITUD:object; LONGITUD:object; X_CCL:object; X_UTM:object; Y_CCL:object; Y_UTM:object; CALI_REPR:object; CLASE:object; TERMINO_GE:object; NOMBRE:object; NOMBRE_COM:object; NOMBRE_REG:object; CARTA:object; GEOMETRIA_:float64; COMOD:int64; CVE_EDO:object; NOM_EDOM:object; CVE_MUN:object; NOM_MUNM:object,"{""minx"": -97.25150389230768, ""miny"": 18.785645830769226, ""maxx"": -96.14721889230768, ""maxy"": 19.12139389230769}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\a1809.shp,a1809.shp,hidrologia_atoyac\conjunto_de_datos,,,,,,,error,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xfa in position 10: invalid start byte
data\raw\hidrologia_atoyac\conjunto_de_datos\c1809.shp,c1809.shp,hidrologia_atoyac\conjunto_de_datos,16,LineString,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",ELEV_NE; FECHA; CAL_POS,ELEV_NE:float64; FECHA:object; CAL_POS:object,"{""minx"": 2870382.7500000037, ""miny"": 799554.2148272358, ""maxx"": 2918051.4843503553, ""maxy"": 839424.6351090111}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\f1809.shp,f1809.shp,hidrologia_atoyac\conjunto_de_datos,6,Point,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",AZIMUT; CAL_POS,AZIMUT:int32; CAL_POS:object,"{""minx"": 2879100.7613999993, ""miny"": 806181.5566999968, ""maxx"": 2903103.140199997, ""maxy"": 834043.7599999998}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\h1809.shp,h1809.shp,hidrologia_atoyac\conjunto_de_datos,15,LineString,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",PROF_NE; FECHA; CAL_POS,PROF_NE:float64; FECHA:object; CAL_POS:object,"{""minx"": 2873273.1112372875, ""miny"": 786837.0540790372, ""maxx"": 2914669.282803283, ""maxy"": 838664.417758368}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\i1809.shp,i1809.shp,hidrologia_atoyac\conjunto_de_datos,,,,,,,error,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xf3 in position 17: invalid continuation byte
data\raw\hidrologia_atoyac\conjunto_de_datos\l1809.shp,l1809.shp,hidrologia_atoyac\conjunto_de_datos,1,LineString,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",CLAVE; SECCION; CAL_POS,CLAVE:object; SECCION:object; CAL_POS:object,"{""minx"": 2875361.443300002, ""miny"": 793752.5598000009, ""maxx"": 2914985.2532000015, ""maxy"": 853190.9600999989}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\m1809.shp,m1809.shp,hidrologia_atoyac\conjunto_de_datos,,,,,,,error,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xe9 in position 3: invalid continuation byte
data\raw\hidrologia_atoyac\conjunto_de_datos\n1809.shp,n1809.shp,hidrologia_atoyac\conjunto_de_datos,,,,,,,error,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xe9 in position 2: invalid continuation byte
data\raw\hidrologia_atoyac\conjunto_de_datos\p1809.shp,p1809.shp,hidrologia_atoyac\conjunto_de_datos,,,,,,,error,UnicodeDecodeError: 'utf-8' codec can't decode byte 0xe9 in position 2: invalid continuation byte
data\raw\hidrologia_atoyac\conjunto_de_datos\pe1809.shp,pe1809.shp,hidrologia_atoyac\conjunto_de_datos,98,Polygon,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",CLAVE; DESCRIPCIO; CAL_POS,CLAVE:object; DESCRIPCIO:object; CAL_POS:object,"{""minx"": 2843272.759300003, ""miny"": 768204.6235000025, ""maxx"": 2922989.919200018, ""maxy"": 861434.2027000003}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
data\raw\hidrologia_atoyac\conjunto_de_datos\t1809.shp,t1809.shp,hidrologia_atoyac\conjunto_de_datos,19,Point,"PROJCS[""MEXICO_ITRF_2008_LCC"",GEOGCS[""ITRF_2008"",DATUM[""International_Terrestrial_Reference_Frame_2008"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""1061""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",T; K; S; B; SW_MAX; METODO; OBSERVACIO; CAL_POS,T:float64; K:float64; S:float64; B:float64; SW_MAX:float64; METODO:object; OBSERVACIO:object; CAL_POS:object,"{""minx"": 2875249.803520111, ""miny"": 786197.5689564776, ""maxx"": 2905561.053942513, ""maxy"": 851026.5578640215}",ok_geopandas_fallback,pyogrio_read_info fallo: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
