municipio_nombre,actividad_codigo,actividad_nombre,ue,h001a,personal_promedio,proporcion_familiar,proporcion_remunerado,ingresos_por_ue,maquila_sobre_ingresos,proxy_unidades_pequenas_familiares,proxy_intensidad_maquila,lectura_metodologica
Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,21.0,1233.0,58.714285714285715,0.006488240064882401,0.9935117599351176,76.87814285714286,0.03800448576318366,0.006488240064882401,0.03800448576318366,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
Huejotzingo,314,"Fabricación de productos textiles, excepto prendas de vestir",22.0,91.0,4.136363636363637,0.34065934065934067,0.6373626373626373,1.0925,0.031412523403370085,0.34065934065934067,0.031412523403370085,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
Puebla total,313,Fabricación de insumos textiles y acabado de textiles,3137.0,13114.0,4.180427159706726,0.30837273143205735,0.6872807686441971,3.0189333758367867,0.09185510127667339,0.30837273143205735,0.09185510127667339,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
Puebla total,315,Fabricación de prendas de vestir,7040.0,45237.0,6.425710227272727,0.21895793266573824,0.7738355770718659,1.7393741477272726,0.4423732282232523,0.21895793266573824,0.4423732282232523,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
San Martín Texmelucan,314,"Fabricación de productos textiles, excepto prendas de vestir",28.0,70.0,2.5,0.5428571428571428,0.45714285714285713,0.47625,0.04094488188976378,0.5428571428571428,0.04094488188976378,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
San Martín Texmelucan,315,Fabricación de prendas de vestir,321.0,1050.0,3.2710280373831777,0.47333333333333333,0.5066666666666667,0.5301495327102803,0.24254604002867583,0.47333333333333333,0.24254604002867583,"Indicadores exploratorios a nivel municipal; no prueban informalidad ni contaminacion. Sirven para comparar estructura productiva, tamano promedio, dependencia de trabajo familiar/no remunerado e ingresos por maquila."
