etapa_productiva_sugerida,registros
confeccion_maquila,515
lavanderia_industrial,184
revisar,127
fabricacion_mezclilla,100
fabricacion_textil,53
bordado,28
planchado_sin_proceso_humedo,21
confeccion_especializada_baja_relevancia,17
no_pertinente,8
lavado_deslavado,7
acabado_textil,4
tenido_tintoreria,2
comercio_simple,1
