codigo_scian_original,registros
315229,557
812210,191
315223,69
315225,59
314991,30
313310,18
811499,18
315123,17
314120,17
313210,9
315224,8
432111,5
313112,5
315222,4
315221,4
314912,3
313230,3
811192,3
811410,3
323119,3
315121,3
434219,2
561432,2
313240,2
313320,2
313111,2
313113,2
316991,2
315991,2
315122,2
313220,2
221312,1
311830,1
314993,1
312112,1
238311,1
315999,1
325620,1
316213,1
432120,1
432119,1
621111,1
532281,1
532210,1
434222,1
811312,1
811122,1
811116,1
811314,1
