id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,municipio,etapa_productiva_sugerida,_id_key,nombre_mapa,comparacion,fuente_mapa,ID DENUE,DENUE
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3326066,LAVANDERIA LAVAPLUS,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,3326348,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3427228,21074812210000141000000000U5,TINTORERIA LIZ,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3427228,TINTORERIA LIZ,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3427244,21074812210000131000000000U6,TINTORERIA LIZ,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3427244,TINTORERIA LIZ,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,313310.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3427952,MAQUILA DE LAVANDERIA DE PANTALON,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428125,21074812210000182000000000U9,LAVANDERIA SANTA CECILIA,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428125,LAVANDERIA SANTA CECILIA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428134,21074812210000223001000000U1,LAVANDERIA SANTA MONICA,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428134,LAVANDERIA SANTA MONICA,actual_y_maryhelen_mh,universo_actual_santa_ana,,
3428174,21074812210000172002000000U0,LAVANDERIA ALEX,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428174,LAVANDERIA ALEX,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428228,21074315229000811002000000U5,MAQUILAR PANTALON DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,3428228,MAQUILAR PANTALON DE MEZCLILLA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428283,21074812210000121001000000U7,LAVANDERIA LAVAMEXXAL,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428283,LAVANDERIA LAVAMEXXAL,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428321,21074812210000051011000000U6,LAVANDERIA Y TERMINADOS G C,313310.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428321,LAVANDERIA Y TERMINADOS G C,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8088970,21074315229001671000000000U2,MAQUILADORA DE PANTALONES DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,8088970,MAQUILADORA DE PANTALONES DE MEZCLILLA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8089261,21074812210000431000000000U0,LAVANDERIA REY,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,8089261,LAVANDERIA REY,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8090455,21074315229001931000000000U0,TALLER DE MAQUILA DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,8090455,TALLER DE MAQUILA DE MEZCLILLA,actual_y_maryhelen_mh,universo_actual_santa_ana,,
8776900,21074812210000521000000000U8,LAVANDERIA MARY,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,8776900,LAVANDERIA MARY,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8949535,21074315229001601000000000U9,TALLER DE MAQUILA DE MEZCLILLA SIN NOMBRE,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,8949535,TALLER DE MAQUILA DE MEZCLILLA SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
9725562,21074315229002411000000000U2,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,9725562,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,actual_y_maryhelen_mh,universo_actual_santa_ana,,
10086701,21074812210000601000000000U8,LAVANDERIA MEXICO,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,10086701,LAVANDERIA MEXICO,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,10099363,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,10801837,LAVANDERIA SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
10876257,21074812210000751000000000U1,LAVANDERIA MA & MA,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,10876257,LAVANDERIA MA & MA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,11081907,BODEGA SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
11096797,21074812210000642000000000U2,LAVADOS Y PROCESOS FLORES,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavado_deslavado,11096797,LAVADOS Y PROCESOS FLORES,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,11149643,LAVANDERIA LOS SOLARES,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
11183668,21074812210000251000000000U2,BODEGA DE DESPERDICIO,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,11183668,BODEGA DE DESPERDICIO,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,3326137,MAQUILA DE PANTALON FOSIL JEANS,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,3326339,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,actual_y_maryhelen_mh,universo_actual_santa_ana,,
3427213,21074812210000342001000000U9,LAVANDERIA MAGALY,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3427213,LAVANDERIA MAGALY,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3427993,21074812210000213002000000U2,LAVANDERIA SIN NOMBRE,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3427993,LAVANDERIA SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3428103,21074812210000192001000000U8,LAVANDERIA NOVALAV,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,3428103,LAVANDERIA NOVALAV,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
6861846,21074812210000364001000000U3,STONE LAV,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,6861846,STONE LAV,actual_y_maryhelen_mh,universo_actual_santa_ana,,
7742787,21074461160000781011000000U9,TALLER DE MAQUILA Y PANTALONES DE MEZCLILLA,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,7742787,TALLER DE MAQUILA Y PANTALONES DE MEZCLILLA,actual_y_maryhelen_mh,universo_actual_santa_ana,,
8089452,21074812210000451001000000U8,LAVANDERIA RUGLAS,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,8089452,LAVANDERIA RUGLAS,actual_y_maryhelen_mh,universo_actual_santa_ana,,
8089562,21074812210000471000000000U6,LAVANDERIA SANTY,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,8089562,LAVANDERIA SANTY,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8111334,21074434222000041000000000U0,VAQUIMTEX PRODUCTOS PARA LAVANDERIA,434222.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,8111334,VAQUIMTEX PRODUCTOS PARA LAVANDERIA,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
8777526,21074315229002171000000000U2,MAQUILA DESHEBRADO,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,8777526,MAQUILA DESHEBRADO,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
10451408,21074812210000861000000000U8,STONE LAV,812210.0,Santa Ana Xalmimilulco,Huejotzingo,lavanderia_industrial,10451408,STONE LAV,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
11133786,21074315229002281000000000U9,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,315229.0,Santa Ana Xalmimilulco,Huejotzingo,fabricacion_mezclilla,11133786,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,actual_falta_en_maryhelen_mh,universo_actual_santa_ana,,
3538483.0,,,,,,,3538483,1,solo_maryhelen_mh,maryhelen_mh,3538483.0,1.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
8089455.0,,,,,,,8089455,1,solo_maryhelen_mh,maryhelen_mh,8089455.0,1.0
3427268.0,,,,,,,3427268,1,solo_maryhelen_mh,maryhelen_mh,3427268.0,1.0
11359086.0,,,,,,,11359086,1,solo_maryhelen_mh,maryhelen_mh,11359086.0,1.0
3326347.0,,,,,,,3326347,1,solo_maryhelen_mh,maryhelen_mh,3326347.0,1.0
8089208.0,,,,,,,8089208,1,solo_maryhelen_mh,maryhelen_mh,8089208.0,1.0
3327188.0,,,,,,,3327188,1,solo_maryhelen_mh,maryhelen_mh,3327188.0,1.0
3427182.0,,,,,,,3427182,1,solo_maryhelen_mh,maryhelen_mh,3427182.0,1.0
3427211.0,,,,,,,3427211,1,solo_maryhelen_mh,maryhelen_mh,3427211.0,1.0
3428048.0,,,,,,,3428048,1,solo_maryhelen_mh,maryhelen_mh,3428048.0,1.0
6450047.0,,,,,,,6450047,1,solo_maryhelen_mh,maryhelen_mh,6450047.0,1.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
11179294.0,,,,,,,11179294,1,solo_maryhelen_mh,maryhelen_mh,11179294.0,1.0
3427858.0,,,,,,,3427858,1,solo_maryhelen_mh,maryhelen_mh,3427858.0,1.0
3427887.0,,,,,,,3427887,1,solo_maryhelen_mh,maryhelen_mh,3427887.0,1.0
3427899.0,,,,,,,3427899,1,solo_maryhelen_mh,maryhelen_mh,3427899.0,1.0
3326144.0,,,,,,,3326144,1,solo_maryhelen_mh,maryhelen_mh,3326144.0,1.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
10398573.0,,,,,,,10398573,1,solo_maryhelen_mh,maryhelen_mh,10398573.0,1.0
3326133.0,,,,,,,3326133,1,solo_maryhelen_mh,maryhelen_mh,3326133.0,1.0
8090624.0,,,,,,,8090624,1,solo_maryhelen_mh,maryhelen_mh,8090624.0,1.0
3428151.0,,,,,,,3428151,1,solo_maryhelen_mh,maryhelen_mh,3428151.0,1.0
11119257.0,,,,,,,11119257,1,solo_maryhelen_mh,maryhelen_mh,11119257.0,1.0
11313187.0,,,,,,,11313187,1,solo_maryhelen_mh,maryhelen_mh,11313187.0,1.0
3428168.0,,,,,,,3428168,1,solo_maryhelen_mh,maryhelen_mh,3428168.0,1.0
9890180.0,,,,,,,9890180,1,solo_maryhelen_mh,maryhelen_mh,9890180.0,1.0
10122074.0,,,,,,,10122074,1,solo_maryhelen_mh,maryhelen_mh,10122074.0,1.0
9804661.0,,,,,,,9804661,1,solo_maryhelen_mh,maryhelen_mh,9804661.0,1.0
,,,,,,,nan,0,solo_maryhelen_mh,maryhelen_mh,,0.0
11521781.0,,,,,,,11521781,1,solo_maryhelen_mh,maryhelen_mh,11521781.0,1.0
10494863.0,,,,,,,10494863,1,solo_maryhelen_mh,maryhelen_mh,10494863.0,1.0
11528292.0,,,,,,,11528292,1,solo_maryhelen_mh,maryhelen_mh,11528292.0,1.0
10416578.0,,,,,,,10416578,1,solo_maryhelen_mh,maryhelen_mh,10416578.0,1.0
9890969.0,,,,,,,9890969,1,solo_maryhelen_mh,maryhelen_mh,9890969.0,1.0
11303687.0,,,,,,,11303687,1,solo_maryhelen_mh,maryhelen_mh,11303687.0,1.0
6272576.0,,,,,,,6272576,1,solo_maryhelen_mh,maryhelen_mh,6272576.0,1.0
3428329.0,,,,,,,3428329,1,solo_maryhelen_mh,maryhelen_mh,3428329.0,1.0
11290346.0,,,,,,,11290346,1,solo_maryhelen_mh,maryhelen_mh,11290346.0,1.0
11173772.0,,,,,,,11173772,1,solo_maryhelen_mh,maryhelen_mh,11173772.0,1.0
