Nombre,id_denue2026_cercano,nombre_denue2026_cercano,distancia_m_denue2026,comparacion
Maquila de pantalon,8858051,COCINA DO�A MARTHA,39.81818988514845,mayra_revisar_nombre_o_distancia
Taller de maquila de pantalon de mezclilla,8858051,COCINA DO�A MARTHA,1.6419207928490054,mayra_revisar_nombre_o_distancia
Taller de maquila,3427858,TALLER DE MAQUILA,0.5116581866742722,mayra_nombre_exactoy_cerca
Taller de maquila,3427886,PESCADERIA JHONY,5.157226019263962,mayra_revisar_nombre_o_distancia
Taller de maquila,3326141,VERDULERIA SIN NOMBRE,7.877808430749033,mayra_revisar_nombre_o_distancia
Maquila de pantalon,3326144,MAQUILA DE PANTALON,0.6749817520885553,mayra_nombre_exactoy_cerca
Maquila de pantalon fosil jeans,9862899,PREESCOLAR,2.4062579079801094,mayra_revisar_nombre_o_distancia
Maquila de pantalon de vestir,10398573,MAQUILA SIN NOMBRE,1.4975861769880336,mayra_revisar_nombre_o_distancia
Deshebrado de blusa,3326133,DESEBRADO DE BLUSA SIN NOMBRE,0.9196861403309302,mayra_revisar_nombre_o_distancia
Taller de maquila de pantalon de mezclilla,3427865,TALLER DE BICICLETAS SIN NOMBRE,9.403455012996623,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,3428151,MAQUILA DE PANTALON DE MESCLILLA,6.722650035996958,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,8090506,PAPELERIA DANY,10.064154995082264,mayra_revisar_nombre_o_distancia
Taller de deshebrado,11313187,MAQUILLADORA SOMBRE,15.604557234001014,mayra_revisar_nombre_o_distancia
Taller de maquila,3428168,TALLER DE MAQUILA SIN NOMBRE,1.0433930070332762,mayra_revisar_nombre_o_distancia
Maquila de pantalon,9890180,MAQUILA,4.049391620289092,mayra_revisar_nombre_o_distancia
Taller de maquila,9046594,ESTETICA SIN NOMBRE,33.61296990468497,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,9804661,MAQUILLA SIN NOMBRE,8.64406936901405,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,10050403,JUGOS Y LICUADOS,4.311986755763721,mayra_revisar_nombre_o_distancia
Taller de maquila de pantalon de mezclilla,10107289,JERCERIA BERNAL,12.747953941013275,mayra_revisar_nombre_o_distancia
Taller de pantalon de mezclilla,11521781,MAQUILLADORA,9.389359439976184,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,10244220,TIENDA AMARO,17.087834988410826,mayra_revisar_nombre_o_distancia
Taller de maquila,3428130,MOLINO LA MERCED,1.3823550690265496,mayra_revisar_nombre_o_distancia
Taller de maquila de pantalon de mezclilla,10416578,MAQUILLADORA SIN NOMBRE,19.380576230279082,mayra_revisar_nombre_o_distancia
Maquila de pantalon de mezclilla,10416578,MAQUILLADORA SIN NOMBRE,13.254100458879366,mayra_revisar_nombre_o_distancia
Taller de pantalon de mezclilla,11346655,HERRERIA SIN NOMBRE,28.7469839138506,mayra_revisar_nombre_o_distancia
Lavanderia Santa Monica,3428134,LAVANDERIA SANTA MONICA,8.85870925044794,mayra_nombre_exactoy_cerca
Lavados Nacionales,6272576,LAVADOS NACIONALES,34.793695059573054,mayra_revisar_nombre_o_distancia
Stonelav,6861846,STONE LAV,12.7480826308301,mayra_revisar_nombre_o_distancia
Poliprocesos s.a. de c.v.,3428329,POLIPROCESO,16.26184012480667,mayra_revisar_nombre_o_distancia
Lavaplus,3326071,BA�OS PUBLICOS SAN BARTOLO,11.036593990318885,mayra_revisar_nombre_o_distancia
Taller de maquila de mezclilla,8090455,TALLER DE MAQUILA DE MEZCLILLA,2.178617336296574,mayra_nombre_exactoy_cerca
Maquila de pantalon de mezclilla,11173772,TALLER DE PANTALLA DE MEZCLILLA,1.7210196563243838,mayra_revisar_nombre_o_distancia
