id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,municipio,etapa_productiva_sugerida,distancia_hidrografia_m,_id_key,nombre_mapa,comparacion,fuente_mapa
9522648,21074812210000591000000000U1,TINTOWASH,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,105.14881671981743,9522648,TINTOWASH,solo_universo_actual,universo_actual
9714434,21074812210000851000000000U9,LAVANDERIA LA BURBUJA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,421.64454640528623,9714434,LAVANDERIA LA BURBUJA,solo_universo_actual,universo_actual
10042837,21074812210000581000000000U2,LAVANDERIA KARAMELOS,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,92.35093098643065,10042837,LAVANDERIA KARAMELOS,solo_universo_actual,universo_actual
10152379,21074812210000871000000000U7,LAVANDERIA LA ESTRELLA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,114.47266743672259,10152379,LAVANDERIA LA ESTRELLA,solo_universo_actual,universo_actual
10324576,21074812210000711000000000U5,LAVANDERIA EL WASHANSWER,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,332.4995818598682,10324576,LAVANDERIA EL WASHANSWER,en_ambos,universo_actual
10408987,21074812210000652000000000U1,LAVANDERIA TORRES,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,114.43163326312101,10408987,LAVANDERIA TORRES,solo_universo_actual,universo_actual
10664588,21074812210000821000000000U2,LAVANDERIA RAPIDIWASH,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,233.96537148112492,10664588,LAVANDERIA RAPIDIWASH,solo_universo_actual,universo_actual
10732265,21074812210000831000000000U1,LAVANDERIA EXPRESES,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,573.4306404307122,10732265,LAVANDERIA EXPRESES,solo_universo_actual,universo_actual
10747145,21074812210000631000000000U5,LAVANDERIA H2A,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,724.5191268486911,10747145,LAVANDERIA H2A,en_ambos,universo_actual
10772217,21074812210000761000000000U0,LAVANDERIA SAN MIGUELITO,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,997.1420912353991,10772217,LAVANDERIA SAN MIGUELITO,solo_universo_actual,universo_actual
