nom_mun,Sectorial,Amplio DENUE,Amplio + MH,Estricto DENUE,Estricto + MH
Puebla,1762,1004,1004,283,283
Huejotzingo,450,117,155,57,98
San Martín Texmelucan,460,99,99,11,11
San Andrés Cholula,199,137,137,32,32
San Pedro Cholula,160,97,97,29,29
San Matías Tlalancaleca,247,34,34,21,21
Cuautlancingo,132,84,84,12,12
Tlahuapan,228,12,12,4,4
Amozoc,96,39,39,10,10
Coronango,66,14,14,3,3
San Miguel Xoxtla,68,7,7,1,1
San Salvador el Verde,53,11,11,3,3
Chiautzingo,29,4,4,2,2
Juan C. Bonilla,16,9,9,0,0
Ocoyucan,17,4,4,0,0
San Gregorio Atzompa,10,5,5,0,0
Calpan,3,2,2,1,1
San Felipe Teotlalcingo,7,0,0,0,0
Tlaltenango,6,0,0,0,0
Domingo Arenas,1,0,0,0,0
