nom_mun,Sectorial,Amplio DENUE,Amplio + MH,Estricto DENUE,Estricto + MH
Ocoyucan,14,4,4,0,0
San Gregorio Atzompa,8,5,5,0,0
San Andrés Cholula,179,134,134,32,32
Puebla,1463,967,967,262,262
Amozoc,81,36,36,8,8
San Pedro Cholula,136,92,92,24,24
Cuautlancingo,114,83,83,11,11
Juan C. Bonilla,14,9,9,0,0
Coronango,63,14,14,3,3
San Miguel Xoxtla,63,7,7,1,1
Calpan,3,2,2,1,1
Domingo Arenas,1,0,0,0,0
Tlaltenango,5,0,0,0,0
Huejotzingo,348,95,117,45,67
Chiautzingo,20,2,2,0,0
San Felipe Teotlalcingo,6,0,0,0,0
San Salvador el Verde,39,8,8,1,1
San Martín Texmelucan,412,98,98,11,11
San Matías Tlalancaleca,219,27,27,16,16
Tlahuapan,144,12,12,4,4
