id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,categoria_auditada,notas_auditoria,fuente_auditoria,query_maps,query_web,keywords_detectadas,criterio_auditoria,criterio_auditoria_sugerido,categoria_sugerida,prioridad_revision,decision_estudio,texto_auditoria_normalizado,region_auditoria,localidad_auditoria,municipio_auditoria,archivo_origen_auditoria,distancia_hidrografia_auditoria_m,__original_columns
10029125,21074315229002351000000000U0,MAQUILLA,315229,agebs\xalmimilulco,revisar,,479.441185287915,250-500 m,19.2128435,-98.38306201,,,,MAQUILLA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLA Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilla 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,479.441185287915,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10328922,21074315229002573000000000U9,MAQUILLADORA LOS HERMANOS,315229,agebs\xalmimilulco,revisar,,539.4682467103175,500-1000 m,19.21304187,-98.37809667,,,,MAQUILLADORA LOS HERMANOS Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLADORA LOS HERMANOS Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilladora los hermanos 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,539.4682467103175,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
11155463,21074315223000831000000000U6,BODEGA,315223,agebs\xalmimilulco,revisar,,569.6912550892471,500-1000 m,19.21128896,-98.37576557,,,,BODEGA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,BODEGA Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,bodega 315223 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,569.6912550892471,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
9811409,21074315223001281000000000U3,VICTORIA LIRA LIRA,315229,agebs\xalmimilulco,revisar,,570.0656804310155,500-1000 m,19.20891569,-98.37730833,,,,VICTORIA LIRA LIRA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,VICTORIA LIRA LIRA Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,victoria lira lira 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,570.0656804310155,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10752985,21074315223000963000000000U7,TERMINADO O PREPARADO,315229,agebs\xalmimilulco,revisar,,584.7360717864705,500-1000 m,19.2128111,-98.37686215,,,,TERMINADO O PREPARADO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,TERMINADO O PREPARADO Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,terminado o preparado 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,584.7360717864705,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
6379033,21074313112000046000000000U8,ESPINTEX,313112,agebs\xalmimilulco,revisar,,593.4966910621499,500-1000 m,19.20632358,-98.41085379,,,,ESPINTEX Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,ESPINTEX Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,espintex 313112 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,593.4966910621499,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
3427871,21074812210000202021000000U5,PEGADO DE PRESILLA SIN NOMBRE,315123,agebs\xalmimilulco,revisar,,603.9602257941615,500-1000 m,19.21221675,-98.38532579,,,,PEGADO DE PRESILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,PEGADO DE PRESILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,pegado de presilla sin nombre 315123 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,603.9602257941615,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10122585,21074315223000971000000000U0,ALEJANDRO GARITA JUAREZ,315229,agebs\xalmimilulco,revisar,,621.7510594629101,500-1000 m,19.2090004,-98.37746816,,,,ALEJANDRO GARITA JUAREZ Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,ALEJANDRO GARITA JUAREZ Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,alejandro garita juarez 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,621.7510594629101,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
10815242,21074315229002311000000000U4,MAQUILLADORA SIN NOMBRE,315229,agebs\xalmimilulco,revisar,,622.2353632479285,500-1000 m,19.21263001,-98.38327724,,,,MAQUILLADORA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLADORA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilladora sin nombre 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,622.2353632479285,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
9650425,21074315229002291000000000U8,MAQUILLA,315229,agebs\xalmimilulco,revisar,,631.591902784276,500-1000 m,19.2140568,-98.38573989,,,,MAQUILLA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILLA Santa Ana Xalmimilulco Huejotzingo Puebla textil mezclilla maquila lavanderia tintoreria confeccion taller,,sin evidencia suficiente; requiere revision manual,sin evidencia suficiente; requiere revision manual,revisar,manual,,maquilla 315229 nan agebs xalmimilulco,xalmimilulco,Santa Ana Xalmimilulco,Huejotzingo,auditoria_revisar_xalmimilulco_enriquecida.csv,631.591902784276,"id, clee, nombre_de_la_unidad_economica, codigo_de_la_clase_actividad_scian, source_folder, categoria_relevancia_ambiental, palabras_clave_detectadas, distancia_hidrografia_m, rango_distancia_hidrografia, latitud, longitud, categoria_auditada, notas_auditoria"
