indicador,registros
A_denue2026_total_area_estudio,2114
B_textil_inicial_2026,363
C_textil_depurado_2026,356
D_alcance_proyecto_2026,76
E_prioritario_automatico_2026,52
F_pendiente_auditoria_2026,75
