id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,etapa_productiva_sugerida,_id_key,nombre_mapa,comparacion,fuente_mapa
3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Santa Ana Xalmimilulco,fabricacion_mezclilla,3326339,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,coincide_actual_y_denue2026_base,universo_actual_santa_ana
3427213,21074812210000342001000000U9,LAVANDERIA MAGALY,812210,Santa Ana Xalmimilulco,lavanderia_industrial,3427213,LAVANDERIA MAGALY,coincide_actual_y_denue2026_base,universo_actual_santa_ana
3427993,21074812210000213002000000U2,LAVANDERIA SIN NOMBRE,812210,Santa Ana Xalmimilulco,lavanderia_industrial,3427993,LAVANDERIA SIN NOMBRE,coincide_actual_y_denue2026_base,universo_actual_santa_ana
3428103,21074812210000192001000000U8,LAVANDERIA NOVALAV,812210,Santa Ana Xalmimilulco,lavanderia_industrial,3428103,LAVANDERIA NOVALAV,coincide_actual_y_denue2026_base,universo_actual_santa_ana
6861846,21074812210000364001000000U3,STONE LAV,812210,Santa Ana Xalmimilulco,lavanderia_industrial,6861846,STONE LAV,coincide_actual_y_denue2026_base,universo_actual_santa_ana
7742787,21074461160000781011000000U9,TALLER DE MAQUILA Y PANTALONES DE MEZCLILLA,315229,Santa Ana Xalmimilulco,fabricacion_mezclilla,7742787,TALLER DE MAQUILA Y PANTALONES DE MEZCLILLA,coincide_actual_y_denue2026_base,universo_actual_santa_ana
8089452,21074812210000451001000000U8,LAVANDERIA RUGLAS,812210,Santa Ana Xalmimilulco,lavanderia_industrial,8089452,LAVANDERIA RUGLAS,coincide_actual_y_denue2026_base,universo_actual_santa_ana
8089562,21074812210000471000000000U6,LAVANDERIA SANTY,812210,Santa Ana Xalmimilulco,lavanderia_industrial,8089562,LAVANDERIA SANTY,coincide_actual_y_denue2026_base,universo_actual_santa_ana
8111334,21074434222000041000000000U0,VAQUIMTEX PRODUCTOS PARA LAVANDERIA,434222,Santa Ana Xalmimilulco,lavanderia_industrial,8111334,VAQUIMTEX PRODUCTOS PARA LAVANDERIA,coincide_actual_y_denue2026_base,universo_actual_santa_ana
8777526,21074315229002171000000000U2,MAQUILA DESHEBRADO,315229,Santa Ana Xalmimilulco,fabricacion_mezclilla,8777526,MAQUILA DESHEBRADO,coincide_actual_y_denue2026_base,universo_actual_santa_ana
10451408,21074812210000861000000000U8,STONE LAV,812210,Santa Ana Xalmimilulco,lavanderia_industrial,10451408,STONE LAV,coincide_actual_y_denue2026_base,universo_actual_santa_ana
11133786,21074315229002281000000000U9,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,fabricacion_mezclilla,11133786,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,coincide_actual_y_denue2026_base,universo_actual_santa_ana
