mh_row_id,Name,DENUE,ID DENUE,_id_key,situacion_comparativa,razon_no_es_mi_prioritario,en_denue2026_base,en_mi_clasificacion_textil_2026,en_mi_universo_prioritario_2026,en_mi_santa_actual,dist_m_mh_vs_denue2026,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,per_ocu,municipio,localidad,categoria_relevancia_ambiental,etapa_productiva_sugerida,decision_estudio_sugerida,decision_alcance_proyecto,flag_universo_alcance_proyecto,flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_cercania_hidrografia_250m,distancia_hidrografia_m,evidencia_clasificacion,palabras_clave_etapa,motivo_flag_estudio_prioritario,motivo_universo_alcance_proyecto,motivo_exclusion_prioritaria,motivo_auditoria
11,12,1,8089208.0,8089208,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,5.030265056554751,8089208,21074315229001731000000000U4,TERMINADO DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,949.3074609503949,"SCIAN 315229 | confeccion: ropa, pantalon",,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
12,13,1,3327188.0,3327188,id_mh_no_existe_en_denue2026,El ID de MH no esta en DENUE 2026 base.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,1,9725562.0,9725562,si_entra_en_mi_universo_prioritario_2026,Coincide con mi universo prioritario 2026.,True,True,True,True,0.20301648945817377,9725562,21074315229002411000000000U2,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,fabricacion_mezclilla,validar_documentalmente,dentro_alcance_proyecto,True,True,False,True,False,False,False,True,False,1017.9399778855012,"SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: ropa, pantalon",maquila; mezclilla,contexto productivo textil,senal de mezclilla/jeans,,mezclilla/jeans sin evidencia directa de proceso humedo
14,15,1,3427182.0,3427182,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,17.01300435935638,3427182,21074333291000022001000000U7,TALLER DE MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,11 a 30 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,1037.901562391848,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
15,16,1,3427211.0,3427211,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,32.81891749419437,3427211,21074315225000041002000000U7,MAQUILA DE PANTALON SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,1075.2826106300781,"SCIAN 315229 | maquila: maquila | confeccion: ropa, pantalon",maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
16,17,1,3428048.0,3428048,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,12.415702679291737,3428048,21074315229000581000000000U4,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,731.8610011959705,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
17,18,1,6450047.0,6450047,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,4.600668128894273,6450047,21074315229000221000000000U7,MAQUILA SIN NOMBRE,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,699.1442942513505,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
18,19,0,,,sin_id_denue_en_mh,La capa MH no trae ID DENUE; no se puede validar contra DENUE registro a registro.,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,1,11179294.0,11179294,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=mantener_pendiente; etapa=revisar; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,88.63990811819681,11179294,21074315223000911000000000U6,TALLER DE TERMINADO,315223,Confecci�n en serie de uniformes,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,revisar,mantener_pendiente,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,False,True,240.16147146595583,SCIAN 315223,,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,cercania a hidrografia requiere cautela documental; confeccion generica sin suficiente detalle operativo
20,21,1,3427858.0,3427858,textil_en_denue2026_pero_no_prioritario,"Si es textil/candidato, pero no prioritario automatico: decision=incluir_contexto_productivo; etapa=confeccion_maquila; banderas=sin bandera humeda/mezclilla prioritaria",True,True,False,False,0.5116581866742722,3427858,21074314991000122002000000U3,TALLER DE MAQUILA,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,Huejotzingo,Santa Ana Xalmimilulco,media_relevancia_ambiental,confeccion_maquila,incluir_contexto_productivo,fuera_alcance_contexto_textil,False,False,False,False,False,False,False,True,False,485.41544533583243,SCIAN 315229 | maquila: maquila | confeccion: ropa,maquila,"sin senales suficientes de proceso humedo, tratamiento, mezclilla prioritaria o maquila relevante",textil fuera del alcance operativo definido para este proyecto,,
