id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,etapa_productiva_sugerida,_id_key,nombre_mapa,comparacion,fuente_mapa,Name,DENUE,ID DENUE
8089455,,,,,,8089455,6,mh_filtrado_con_id_no_en_actual,mh_filtrado,6,1.0,8089455.0
3427268,,,,,,3427268,7,mh_filtrado_con_id_no_en_actual,mh_filtrado,7,1.0,3427268.0
3326339,,,,,,3326339,8,mh_filtrado_coincide_id_actual,mh_filtrado,8,1.0,3326339.0
11359086,,,,,,11359086,9,mh_filtrado_con_id_no_en_actual,mh_filtrado,9,1.0,11359086.0
3326347,,,,,,3326347,11,mh_filtrado_con_id_no_en_actual,mh_filtrado,11,1.0,3326347.0
8089208,,,,,,8089208,12,mh_filtrado_con_id_no_en_actual,mh_filtrado,12,1.0,8089208.0
3327188,,,,,,3327188,13,mh_filtrado_con_id_no_en_actual,mh_filtrado,13,1.0,3327188.0
9725562,,,,,,9725562,14,mh_filtrado_coincide_id_actual,mh_filtrado,14,1.0,9725562.0
3427182,,,,,,3427182,15,mh_filtrado_con_id_no_en_actual,mh_filtrado,15,1.0,3427182.0
3427211,,,,,,3427211,16,mh_filtrado_con_id_no_en_actual,mh_filtrado,16,1.0,3427211.0
3428048,,,,,,3428048,17,mh_filtrado_con_id_no_en_actual,mh_filtrado,17,1.0,3428048.0
6450047,,,,,,6450047,18,mh_filtrado_con_id_no_en_actual,mh_filtrado,18,1.0,6450047.0
,,,,,,,19,mh_filtrado_sin_id,mh_filtrado,19,0.0,
11179294,,,,,,11179294,20,mh_filtrado_con_id_no_en_actual,mh_filtrado,20,1.0,11179294.0
3427858,,,,,,3427858,21,mh_filtrado_con_id_no_en_actual,mh_filtrado,21,1.0,3427858.0
3427887,,,,,,3427887,22,mh_filtrado_con_id_no_en_actual,mh_filtrado,22,1.0,3427887.0
3427899,,,,,,3427899,23,mh_filtrado_con_id_no_en_actual,mh_filtrado,23,1.0,3427899.0
3326144,,,,,,3326144,24,mh_filtrado_con_id_no_en_actual,mh_filtrado,24,1.0,3326144.0
,,,,,,,25,mh_filtrado_sin_id,mh_filtrado,25,0.0,
10398573,,,,,,10398573,26,mh_filtrado_con_id_no_en_actual,mh_filtrado,26,1.0,10398573.0
3326133,,,,,,3326133,27,mh_filtrado_con_id_no_en_actual,mh_filtrado,27,1.0,3326133.0
8090624,,,,,,8090624,28,mh_filtrado_con_id_no_en_actual,mh_filtrado,28,1.0,8090624.0
3428151,,,,,,3428151,29,mh_filtrado_con_id_no_en_actual,mh_filtrado,29,1.0,3428151.0
11119257,,,,,,11119257,30,mh_filtrado_con_id_no_en_actual,mh_filtrado,30,1.0,11119257.0
11313187,,,,,,11313187,31,mh_filtrado_con_id_no_en_actual,mh_filtrado,31,1.0,11313187.0
3428168,,,,,,3428168,32,mh_filtrado_con_id_no_en_actual,mh_filtrado,32,1.0,3428168.0
9890180,,,,,,9890180,33,mh_filtrado_con_id_no_en_actual,mh_filtrado,33,1.0,9890180.0
10122074,,,,,,10122074,34,mh_filtrado_con_id_no_en_actual,mh_filtrado,34,1.0,10122074.0
9804661,,,,,,9804661,35,mh_filtrado_con_id_no_en_actual,mh_filtrado,35,1.0,9804661.0
,,,,,,,36,mh_filtrado_sin_id,mh_filtrado,36,0.0,
7742787,,,,,,7742787,37,mh_filtrado_coincide_id_actual,mh_filtrado,37,1.0,7742787.0
11521781,,,,,,11521781,38,mh_filtrado_con_id_no_en_actual,mh_filtrado,38,1.0,11521781.0
10494863,,,,,,10494863,39,mh_filtrado_con_id_no_en_actual,mh_filtrado,39,1.0,10494863.0
11528292,,,,,,11528292,40,mh_filtrado_con_id_no_en_actual,mh_filtrado,40,1.0,11528292.0
10416578,,,,,,10416578,41,mh_filtrado_con_id_no_en_actual,mh_filtrado,41,1.0,10416578.0
9890969,,,,,,9890969,42,mh_filtrado_con_id_no_en_actual,mh_filtrado,42,1.0,9890969.0
11303687,,,,,,11303687,43,mh_filtrado_con_id_no_en_actual,mh_filtrado,43,1.0,11303687.0
3428134,,,,,,3428134,44,mh_filtrado_coincide_id_actual,mh_filtrado,44,1.0,3428134.0
6272576,,,,,,6272576,45,mh_filtrado_con_id_no_en_actual,mh_filtrado,45,1.0,6272576.0
6861846,,,,,,6861846,46,mh_filtrado_coincide_id_actual,mh_filtrado,46,1.0,6861846.0
3428329,,,,,,3428329,47,mh_filtrado_con_id_no_en_actual,mh_filtrado,47,1.0,3428329.0
11290346,,,,,,11290346,48,mh_filtrado_con_id_no_en_actual,mh_filtrado,48,1.0,11290346.0
8090455,,,,,,8090455,49,mh_filtrado_coincide_id_actual,mh_filtrado,49,1.0,8090455.0
11173772,,,,,,11173772,50,mh_filtrado_con_id_no_en_actual,mh_filtrado,50,1.0,11173772.0
