grupo_espacial,CLUSTER_004,CLUSTER_005,CLUSTER_006,CLUSTER_007,CLUSTER_008,CLUSTER_009,CLUSTER_010,CLUSTER_011,CLUSTER_012,CLUSTER_013,CLUSTER_014,CLUSTER_015,CLUSTER_016,CLUSTER_017,CLUSTER_018,CLUSTER_019,CLUSTER_020,CLUSTER_021
CLUSTER_004,0.0,0.2577498200670882,0.5183124217358149,0.5060068572261527,0.1186474872674046,0.20784766297420817,0.21394779442677678,0.3482307913605446,0.09062358836887777,0.01582201310925367,0.39303889117159757,0.4349955618505732,0.1645869213049305,0.12923222960589956,0.41503713373814194,0.11070424942919882,0.585562583461815,0.539227156520907
CLUSTER_005,0.2577498200670882,0.0,0.6533477914927919,0.5063445664142893,0.1629758514287807,0.28068240262750604,0.145626516932285,0.5138583056040837,0.1914799062092365,0.2549984621096536,0.5278472837047943,0.5063977887383572,0.2795539908870074,0.2274690375371211,0.5400397152751251,0.23694573611023192,0.6020991112352299,0.5496962181743518
CLUSTER_006,0.5183124217358149,0.6533477914927919,0.0,0.6715069450410132,0.5843851152595951,0.5566176717220003,0.6373850066460999,0.2922549028705164,0.5521127075704892,0.5263409560597557,0.49753476439270694,0.6366561720588517,0.5170824280371583,0.6059340323508373,0.5339459226692193,0.5062562253344352,0.7165575969965429,0.6447222497738039
CLUSTER_007,0.5060068572261527,0.5063445664142893,0.6715069450410132,0.0,0.4842409583086583,0.637655201276151,0.5894407242408748,0.46798810620574116,0.4852428614295612,0.4969622392246399,0.3083383859818172,0.2157894875246785,0.3688705887963235,0.46991119219466565,0.2896702419803206,0.4396410311495013,0.13433066793886117,0.08374305785999564
CLUSTER_008,0.1186474872674046,0.1629758514287807,0.5843851152595951,0.4842409583086583,0.0,0.22178168499822457,0.1538601475330619,0.4173983143507012,0.044400236332215424,0.11354248996707549,0.43476566761775187,0.4356545324281766,0.1683768788491168,0.11332251014163379,0.45070326979803566,0.11486949982580706,0.5706251489575038,0.5267782958469844
CLUSTER_009,0.20784766297420817,0.28068240262750604,0.5566176717220003,0.637655201276151,0.22178168499822457,0.0,0.19444366846378006,0.4877323090056815,0.21330366066345438,0.21688661956326438,0.5555525348046448,0.5842577892441052,0.33568863838079854,0.2654255811719103,0.575249099789179,0.2653900173941183,0.7171186083513773,0.6711998678569294
CLUSTER_010,0.21394779442677678,0.145626516932285,0.6373850066460999,0.5894407242408748,0.1538601475330619,0.19444366846378006,0.0,0.5128301597586621,0.17738623255176672,0.21417059929789975,0.5441675731508517,0.5413717889951702,0.3047474777204144,0.1978998522725078,0.5587373860939081,0.24777655730661577,0.6707397381425247,0.6334093651786064
CLUSTER_011,0.3482307913605446,0.5138583056040837,0.2922549028705164,0.46798810620574116,0.4173983143507012,0.4877323090056815,0.5128301597586621,0.0,0.3876129959310004,0.3496387503360573,0.24501213952149123,0.40182769532820917,0.2975727291222723,0.41121776969770896,0.2881457557244752,0.32396927116332264,0.5180839211236185,0.4546938390647272
CLUSTER_012,0.09062358836887777,0.1914799062092365,0.5521127075704892,0.4852428614295612,0.044400236332215424,0.21330366066345438,0.17738623255176672,0.3876129959310004,0.0,0.08912516045205655,0.41998009835426947,0.4348806272062596,0.1506927801201209,0.13190395301442623,0.4388827198974335,0.08119505128599887,0.571895883715898,0.5227959787738725
CLUSTER_013,0.01582201310925367,0.2549984621096536,0.5263409560597557,0.4969622392246399,0.11354248996707549,0.21688661956326438,0.21417059929789975,0.3496387503360573,0.08912516045205655,0.0,0.38578775814182176,0.4241799929324979,0.15683556197346313,0.1152467674093806,0.40685781110561986,0.10951902870152824,0.5760792450046196,0.531723179858104
