grupo_espacial,CLUSTER_004,CLUSTER_005,CLUSTER_006,CLUSTER_007,CLUSTER_008,CLUSTER_009,CLUSTER_010,CLUSTER_011,CLUSTER_012,CLUSTER_013,CLUSTER_014,CLUSTER_015,CLUSTER_016,CLUSTER_017,CLUSTER_018,CLUSTER_019,CLUSTER_020,CLUSTER_021
CLUSTER_004,0.0,0.015267963297066922,0.06231977736147887,0.32955853786099887,0.05229868413705896,0.33074375972779013,0.4533174788163683,0.21547434061780424,0.10388250475601568,0.07116631620638725,0.3112549961576422,0.31064943284027613,0.020233540084156454,0.06731455489679139,0.28845154077569346,0.042525137235919774,0.521407033622332,0.3601170948016261
CLUSTER_005,0.015267963297066922,0.0,0.05514882800037624,0.333540542707204,0.08113475569481132,0.31995906446387357,0.44691922020583363,0.18513745483502797,0.08668071834781588,0.044388395685307724,0.27952512228497617,0.30699871768319154,0.019148573612553177,0.06024575174568314,0.2749567563157066,0.03023845348823251,0.5279161410717979,0.37535473485694093
CLUSTER_006,0.06231977736147887,0.05514882800037624,0.0,0.4421817266905581,0.14711818348236672,0.32987151931213643,0.43099011864177905,0.25960876461338456,0.2017099372491472,0.14533076039723147,0.4065692085362218,0.42339747732825894,0.09018311054214645,0.1865896688359031,0.3984912892089534,0.10596010363572606,0.6237857964206998,0.45251989011599536
CLUSTER_007,0.32955853786099887,0.333540542707204,0.4421817266905581,0.0,0.331480175574305,0.44365744505779026,0.5066742362562071,0.20308014179750067,0.28171416265888005,0.2880834109343572,0.07280080320120819,0.017306242517249326,0.2325936967295894,0.23168242812301432,0.041589953454378104,0.2658499693265599,0.05218508791455745,0.04049869645232973
CLUSTER_008,0.05229868413705896,0.08113475569481132,0.14711818348236672,0.331480175574305,0.0,0.39926871839678035,0.5300950600963464,0.21412476793938684,0.08222638495023782,0.09771326152986626,0.2929213266300087,0.3320306320162816,0.07768068951877594,0.11046383060508247,0.28104293180961637,0.07811369992371897,0.5405271031143424,0.4126313275351453
CLUSTER_009,0.33074375972779013,0.31995906446387357,0.32987151931213643,0.44365744505779026,0.39926871839678035,0.0,0.02057275123136637,0.2960329409317759,0.36158026495657536,0.3489865649760068,0.4532603300988435,0.5249158213270078,0.34605257591496574,0.3524358001514297,0.46347596113065337,0.31528782147239554,0.623908637936675,0.4547725621660693
CLUSTER_010,0.4533174788163683,0.44691922020583363,0.43099011864177905,0.5066742362562071,0.5300950600963464,0.02057275123136637,0.0,0.4209789656434263,0.5193073939719082,0.502443392407933,0.5612695160643022,0.5993254910920393,0.4698093474195305,0.49257573226388984,0.5697756411691604,0.44966939958527097,0.6460934215240035,0.48893388911816804
CLUSTER_011,0.21547434061780424,0.18513745483502797,0.25960876461338456,0.20308014179750067,0.21412476793938684,0.2960329409317759,0.4209789656434263,0.0,0.08640817144761326,0.09975467979612207,0.08555114744742442,0.2321592346506055,0.15372623150153975,0.11258054347887803,0.12196334776009077,0.10670493714922968,0.40343888478202783,0.2936209009956511
CLUSTER_012,0.10388250475601568,0.08668071834781588,0.2017099372491472,0.28171416265888005,0.08222638495023782,0.36158026495657536,0.5193073939719082,0.08640817144761326,0.0,0.016505080345680323,0.15893786832906076,0.28039131076870405,0.08882796525433656,0.058322077658571336,0.16665572277406626,0.0484674827825311,0.5067523511015573,0.4066465317542701
CLUSTER_013,0.07116631620638725,0.044388395685307724,0.14533076039723147,0.2880834109343572,0.09771326152986626,0.3489865649760068,0.502443392407933,0.09975467979612207,0.016505080345680323,0.0,0.1745309334373364,0.2668291744236264,0.050266637980193485,0.04037846249765842,0.17800439185586692,0.036904195805722795,0.4950897824216812,0.3832874444763664
