subnucleo_id,n,pct_mega_cluster,municipio_dominante,localidad_dominante,centroide_x,centroide_y,medoid_d_llave,medoid_x,medoid_y,area_convexa_km2,extension_bbox_km,densidad_por_km2,n_localidades,subnucleo_mas_proximo,distancia_mas_proximo_m,scian3_principales,pct__scian_textil,pct__actividad_lavanderia_tintoreria,pct__actividad_confeccion,pct__actividad_acabado_textil,pct__actividad_fabricacion_telas,pct__maquila,pct__senal_mezclilla_o_pantalon,pct__humedo_explicito,pct__proceso_seco_explicito
0,31,1.5523284927391086,San Andrés Cholula,San Andrés Cholula,574511.9309930506,2106770.6752067558,11744835,574305.7612713041,2106931.502566302,0.8889604907474624,2.068011999207298,34.8721909721031,1,1,1949.836626062565,812 | 315,16.129032258064516,83.87096774193549,9.67741935483871,0.0,0.0,3.225806451612903,0.0,16.129032258064516,0.0
1,76,3.8057085628442664,San Pedro Cholula,Cholula de Rivadavia,572853.6126717469,2107796.269285114,3450363,572865.8720566913,2107725.277412936,4.38214043149088,3.639370614028232,17.343122884389967,2,0,1949.836626062565,812 | 315 | 313,40.78947368421053,59.210526315789465,15.789473684210526,1.3157894736842104,3.9473684210526314,1.3157894736842104,0.0,19.736842105263158,6.578947368421052
2,46,2.303455182774161,Puebla,Heroica Puebla de Zaragoza,578027.875486051,2106832.680744991,11065835,577854.0883600507,2106804.7456396967,4.141889253417599,3.544711811337178,11.106042963858583,3,3,2513.745655608647,812 | 315 | 314,19.565217391304348,80.43478260869566,6.521739130434782,0.0,0.0,0.0,0.0,23.91304347826087,6.521739130434782
3,57,2.8542814221332,San Andrés Cholula,San Bernardino Tlaxcalancingo,578093.3267727337,2104319.7873230246,10367842,577956.8985656761,2104204.358813821,2.912601650282239,2.9466527772243967,19.57013242592805,1,2,2513.745655608647,812 | 315 | 313,24.561403508771928,75.43859649122807,14.035087719298245,0.0,3.508771929824561,1.7543859649122806,0.0,19.298245614035086,3.508771929824561
4,92,4.606910365548322,Puebla,Heroica Puebla de Zaragoza,579006.134890482,2097607.980527274,8186296,579256.1559842906,2097930.513203343,9.944358133282929,5.544486232582965,9.251476944709358,1,11,3571.8868078944183,812 | 315 | 314,41.30434782608695,58.69565217391305,30.434782608695656,0.0,1.0869565217391304,4.3478260869565215,0.0,6.521739130434782,11.956521739130435
5,93,4.656985478217326,San Pedro Cholula,Santiago Momoxpan,577218.9567696671,2109784.190762836,8591497,577055.9586963663,2109750.84330148,8.372649604496072,5.240168467608775,11.107594894459629,5,2,3060.3530638072816,812 | 315 | 314,43.01075268817204,56.98924731182796,17.20430107526882,3.225806451612903,7.526881720430108,4.301075268817205,0.0,12.903225806451612,7.526881720430108
6,58,2.9043565348022033,Puebla,Heroica Puebla de Zaragoza,590982.1222670282,2108111.9679135247,3436856,590869.4134325412,2108004.4543196373,4.514985227920169,4.150729146002132,12.846110689650637,1,10,2389.663523657923,812 | 315 | 314,39.6551724137931,60.3448275862069,25.862068965517242,0.0,0.0,3.4482758620689653,0.0,15.517241379310345,10.344827586206897
7,41,2.053079619429144,Puebla,Heroica Puebla de Zaragoza,584606.3549233426,2099867.3668622863,8234730,584657.6461155749,2099881.856619051,2.0235910269777735,2.5536751063716627,20.26101097178384,1,12,3086.906824857269,812 | 315 | 313,41.46341463414634,58.536585365853654,24.390243902439025,0.0,0.0,2.4390243902439024,0.0,14.634146341463413,7.317073170731707
8,36,1.802704056084126,Puebla,Heroica Puebla de Zaragoza,587734.25713409,2110614.35732171,11423289,588006.3592753366,2110499.335156145,1.7407868970899572,2.769850746416507,20.680302718374413,1,16,1615.7672937546265,812 | 313 | 315,50.0,50.0,8.333333333333332,5.555555555555555,19.444444444444446,5.555555555555555,0.0,5.555555555555555,0.0
9,65,3.2548823234852278,Puebla,Heroica Puebla de Zaragoza,580729.7447035686,2107941.257499308,6406687,580701.045151354,2107844.1721825344,2.8644586747515253,3.0842489581289936,22.691896578203686,1,15,2378.3689263746164,812 | 315 | 313,46.15384615384615,53.84615384615385,18.461538461538463,0.0,7.6923076923076925,4.615384615384616,0.0,10.76923076923077,10.76923076923077
10,33,1.6524787180771157,Puebla,Heroica Puebla de Zaragoza,589407.0646881431,2106314.8353698603,8307253,589597.6266262437,2106287.94479958,1.6547442225447728,2.4482640892393635,19.942659143568704,1,6,2389.663523657923,812 | 315 | 314,42.42424242424242,57.57575757575758,30.303030303030305,0.0,3.0303030303030303,0.0,3.0303030303030303,24.242424242424242,12.121212121212121
11,74,3.7055583375062593,Puebla,Heroica Puebla de Zaragoza,580766.8309544671,2100715.7650659247,9846399,580719.4116321255,2100619.911098601,3.752160347621713,3.461712508154906,19.721971649453764,1,12,3204.8063656669106,812 | 315 | 314,40.54054054054054,59.45945945945946,33.78378378378378,0.0,1.3513513513513513,0.0,0.0,16.216216216216218,13.513513513513514
12,112,5.6084126189283925,Puebla,Heroica Puebla de Zaragoza,583308.321519796,2102668.0994501333,3419353,583388.8442926721,2102850.7619943675,6.560918304282301,4.184679581149998,17.070781071439008,1,14,2436.47640927306,812 | 315 | 314,39.285714285714285,60.71428571428571,14.285714285714285,0.8928571428571428,5.357142857142857,2.6785714285714284,0.0,16.071428571428573,4.464285714285714
13,97,4.85728592889334,Puebla,Heroica Puebla de Zaragoza,586574.081158593,2104549.0778912106,3353206,586610.7283225376,2104733.9322860204,4.689007515355812,5.442160642015008,20.686680429139688,1,14,2858.11766507504,812 | 315 | 313,55.670103092783506,44.329896907216494,19.587628865979383,2.0618556701030926,10.309278350515463,2.0618556701030926,0.0,14.432989690721648,12.371134020618557
14,78,3.9058587881822735,Puebla,Heroica Puebla de Zaragoza,583762.3467046574,2105061.8994468865,3362595,583887.7596758648,2105120.712980842,3.194539758286534,3.1798678124570947,24.41666277518397,1,15,1909.8796151913548,812 | 315 | 314,60.256410256410255,39.743589743589745,37.17948717948718,0.0,1.282051282051282,0.0,0.0,19.230769230769234,11.538461538461538
15,54,2.704056084126189,Puebla,Heroica Puebla de Zaragoza,582095.3863419616,2105994.038542582,10962292,582320.7907848083,2105960.799335424,2.1634848108006657,2.623100200803481,24.95973150836016,1,14,1909.8796151913548,812 | 315 | 313,29.629629629629626,70.37037037037037,25.925925925925924,1.8518518518518516,1.8518518518518516,1.8518518518518516,0.0,12.962962962962962,1.8518518518518516
16,30,1.5022533800701052,Puebla,Heroica Puebla de Zaragoza,586845.7381026176,2109264.8248551576,3254020,586974.0083078806,2109298.3960524434,1.1847478427552172,2.094615749437249,25.321843954771694,1,8,1615.7672937546265,315 | 812 | 313,70.0,30.0,36.666666666666664,3.3333333333333335,10.0,0.0,0.0,10.0,16.666666666666664
17,35,1.7526289434151228,Puebla,Heroica Puebla de Zaragoza,585104.1336732984,2108638.7584975283,10162804,585147.5852239989,2108615.5519447625,1.330189867090262,2.425889779819941,26.312033241210234,1,16,1850.7147463559584,812 | 315 | 313,37.142857142857146,62.857142857142854,17.142857142857142,0.0,11.428571428571429,0.0,0.0,14.285714285714285,17.142857142857142
