cluster,rasgo,n,conteo,prevalencia_cluster,prevalencia_global,diferencia_pp,lift,log2_lift,odds_ratio,IC95,p_fisher,p_BH,estado_celda
CLUSTER_007,lavado_generico,99,37,0.3737373737373737,0.2992518703241895,7.448550341318421,1.248905723905724,0.320664576395742,1.4100906998030678,"[0.94, 2.14]",0.1191196909052324,0.2469026320581181,FILTRADO_POR_CRITERIO
CLUSTER_007,produccion,99,17,0.1717171717171717,0.1219451371571072,4.97720345600644,1.4081510400528805,0.4938020875607786,1.5105157089706491,"[0.914, 2.61]",0.1589723091675059,0.3106773127730687,FILTRADO_POR_CRITERIO
CLUSTER_007,maquila,99,3,0.0303030303030303,0.1468827930174563,-11.6579762714426,0.2063075577506817,-2.277131421846631,0.1773144197952218,"[0.0705, 0.6]",0.0002449296751491,0.0009104994445762,NO_SOBRERREPRESENTADO
CLUSTER_007,proceso_seco_explicito,99,13,0.1313131313131313,0.1605985037406483,-2.9285372427517,0.8176485350398395,-0.2904472587108516,0.7857590388088306,"[0.454, 1.45]",0.4896447889990724,0.7577308499442659,NO_SOBRERREPRESENTADO
CLUSTER_007,scian_textil,99,55,0.5555555555555556,0.6044887780548629,-4.89332224993073,0.919050238357169,-0.1217843686856183,0.8136344449134656,"[0.544, 1.21]",0.3490183570335165,0.6028498894215285,NO_SOBRERREPRESENTADO
CLUSTER_007,scian_acabado_humedo,99,1,0.0101010101010101,0.0084788029925187,0.16222071084913,1.1913250148544268,0.2525670600123338,1.199134199134199,"[0.339, 9.16]",0.574077713107608,0.8499332375878872,FILTRADO_POR_CRITERIO
CLUSTER_007,scian_lavanderia,99,44,0.4444444444444444,0.3955112219451371,4.89332224993072,1.123721451590304,0.1682844641959918,1.22905317769131,"[0.826, 1.84]",0.3490183570335165,0.6028498894215285,FILTRADO_POR_CRITERIO
CLUSTER_007,actividad_lavanderia_tintoreria,99,44,0.4444444444444444,0.3955112219451371,4.89332224993072,1.123721451590304,0.1682844641959918,1.22905317769131,"[0.826, 1.84]",0.3490183570335165,0.6028498894215285,FILTRADO_POR_CRITERIO
CLUSTER_007,actividad_acabado_textil,99,1,0.0101010101010101,0.0084788029925187,0.16222071084913,1.1913250148544268,0.2525670600123338,1.199134199134199,"[0.339, 9.16]",0.574077713107608,0.8499332375878872,FILTRADO_POR_CRITERIO
CLUSTER_007,actividad_confeccion,99,31,0.3131313131313131,0.3895261845386533,-7.639487140734009,0.8038774428018988,-0.3149525264924308,0.7086871325930765,"[0.466, 1.1]",0.1186979975581049,0.2469026320581181,NO_SOBRERREPRESENTADO
CLUSTER_007,actividad_fabricacion_telas,99,7,0.0707070707070707,0.0386533665835411,3.2053704123529503,1.8292603453893777,0.8712604180460396,1.9345622796709756,"[0.959, 4.4]",0.1059504664890698,0.2311280750773512,FILTRADO_POR_CRITERIO
CLUSTER_007,actividad_tejido_hilado,99,8,0.0808080808080808,0.0895261845386533,-0.87181037305725,0.9026195098618498,-0.1478101325603781,0.8916439685670455,"[0.462, 1.92]",1.0,1.0,NO_SOBRERREPRESENTADO
CLUSTER_007,actividad_bordado_deshilado,99,7,0.0707070707070707,0.0446384039900249,2.6068666717045703,1.5839963884656625,0.6635690460560207,1.6540065722952475,"[0.822, 3.76]",0.2106678129653975,0.4025049834310947,FILTRADO_POR_CRITERIO
CLUSTER_007,senal_pantalon,99,3,0.0303030303030303,0.0366583541147132,-0.63553238116829,0.826633683776541,-0.274679942852535,0.8174913194444444,"[0.321, 2.78]",1.0,1.0,NO_SOBRERREPRESENTADO
CLUSTER_007,senal_mezclilla_o_pantalon,99,5,0.0505050505050505,0.0456359102244389,0.48691402806116,1.106695368990451,0.146258157865993,1.1155271336361463,"[0.509, 2.91]",0.8049071193904085,1.0,FILTRADO_POR_CRITERIO
CLUSTER_008,textil,337,152,0.4510385756676557,0.2483790523690773,20.26595232985784,1.8159284020354411,0.8607073215359287,2.753990008966312,"[2.19, 3.46]",2.3493386767039906e-17,1.959692262031133e-16,SOBRERREPRESENTADO
CLUSTER_008,mezclilla,337,43,0.1275964391691394,0.0184538653366583,10.91425738324811,6.914347582003368,2.7895931292335723,17.183015141540487,"[10.6, 27.4]",2.773325815231444e-28,3.3874193886041205e-27,SOBRERREPRESENTADO
CLUSTER_008,humedo_explicito,337,5,0.0148367952522255,0.0922693266832917,-7.743253143106619,0.1607987809768225,-2.6366716254685256,0.1364911701600924,"[0.064, 0.35]",1.6115745614259098e-09,9.341669491655274e-09,NO_SOBRERREPRESENTADO
CLUSTER_008,lavado_generico,337,18,0.0534124629080118,0.2992518703241895,-24.58394074161776,0.178486646884273,-2.486111948893144,0.1189153923269099,"[0.076, 0.196]",1.694467853772536e-31,2.51960002604438e-30,NO_SOBRERREPRESENTADO
CLUSTER_008,produccion,337,50,0.1483679525222551,0.1219451371571072,2.64228153651479,1.2166778928716633,0.2829472749829152,1.283404633590755,"[0.943, 1.77]",0.1385810536567274,0.2821114306583379,FILTRADO_POR_CRITERIO
CLUSTER_008,maquila,337,188,0.5578635014836796,0.1468827930174563,41.09807084662232,3.798018066128277,1.925246768007601,10.29533548678639,"[8.1, 13]",3.484936664975946e-78,1.1918483394217735e-76,SOBRERREPRESENTADO
CLUSTER_008,proceso_seco_explicito,337,53,0.1572700296735905,0.1605985037406483,-0.33284740670578,0.9792745636507733,-0.0302146833909936,0.9732013059745954,"[0.722, 1.33]",0.9382144243272742,1.0,NO_SOBRERREPRESENTADO
CLUSTER_008,scian_textil,337,310,0.9198813056379822,0.6044887780548629,31.53925275831193,1.5217508397724044,0.6057321619617108,8.467185255264726,"[5.61, 12.4]",3.198626799600443e-42,5.757528239280798e-41,SOBRERREPRESENTADO
CLUSTER_008,scian_acabado_humedo,337,4,0.0118694362017804,0.0084788029925187,0.33906332092617003,1.3998952696805729,0.4853188989100849,1.4586586586586587,"[0.595, 4.36]",0.5260614138437283,0.7960752368785623,FILTRADO_POR_CRITERIO
CLUSTER_008,scian_lavanderia,337,27,0.0801186943620178,0.3955112219451371,-31.53925275831193,0.2025699649380147,-2.3035078133800857,0.1181030023381406,"[0.0809, 0.178]",3.198626799600443e-42,5.757528239280798e-41,NO_SOBRERREPRESENTADO
CLUSTER_008,actividad_lavanderia_tintoreria,337,27,0.0801186943620178,0.3955112219451371,-31.53925275831193,0.2025699649380147,-2.3035078133800857,0.1181030023381406,"[0.0809, 0.178]",3.198626799600443e-42,5.757528239280798e-41,NO_SOBRERREPRESENTADO
CLUSTER_008,actividad_acabado_textil,337,4,0.0118694362017804,0.0084788029925187,0.33906332092617003,1.3998952696805729,0.4853188989100849,1.4586586586586587,"[0.595, 4.36]",0.5260614138437283,0.7960752368785623,FILTRADO_POR_CRITERIO
CLUSTER_008,actividad_confeccion,337,289,0.857566765578635,0.3895261845386533,46.80405810399816,2.201563847612245,1.1385286845191238,11.351139041633935,"[8.24, 15.4]",1.096377356255272e-76,3.4087368712663914e-75,SOBRERREPRESENTADO
CLUSTER_008,actividad_fabricacion_telas,337,5,0.0148367952522255,0.0386533665835411,-2.38165713313156,0.3838422513640279,-1.381414570226451,0.353714859437751,"[0.164, 0.914]",0.0168736992577885,0.045439410599714,NO_SOBRERREPRESENTADO
CLUSTER_008,actividad_tejido_hilado,337,6,0.0178041543026706,0.0895261845386533,-7.17220302359827,0.1988709157484936,-2.3300957929414707,0.1704851809693349,"[0.0841, 0.403]",2.3736731583103486e-08,1.2684315939720926e-07,NO_SOBRERREPRESENTADO
CLUSTER_008,actividad_bordado_deshilado,337,33,0.0979228486646884,0.0446384039900249,5.3284444674663405,2.19369063209721,1.133360082254621,2.622363914924297,"[1.79, 3.93]",1.0917731464019248e-05,4.84917423466829e-05,SOBRERREPRESENTADO
CLUSTER_008,senal_pantalon,337,121,0.3590504451038576,0.0366583541147132,32.23920909891443,9.79450533922768,3.2919726325986542,78.57674501424502,"[49.6, 120]",1.0271858706025571e-112,4.391219596825933e-111,SOBRERREPRESENTADO
CLUSTER_008,senal_mezclilla_o_pantalon,337,137,0.4065281899109792,0.0456359102244389,36.08922796865403,8.908076729743316,3.1551139848369085,54.01076086956522,"[37.3, 76.8]",1.5665654981627128e-118,7.653791433880682e-117,SOBRERREPRESENTADO
CLUSTER_009,textil,30,5,0.1666666666666666,0.2483790523690773,-8.17123857024106,0.6710174029451137,-0.5755779114469547,0.6032290615539859,"[0.258, 1.64]",0.3972713642306783,0.6543846810980979,NO_SOBRERREPRESENTADO
CLUSTER_009,mezclilla,30,0,0.0,0.0184538653366583,-1.8453865336658297,0.0,,0.0,"[0.0521, 14.2]",1.0,1.0,NO_SOBRERREPRESENTADO
CLUSTER_009,humedo_explicito,30,0,0.0,0.0922693266832917,-9.22693266832917,0.0,,0.0,"[0.00975, 2.62]",0.1067022018216837,0.2311280750773512,NO_SOBRERREPRESENTADO
CLUSTER_009,lavado_generico,30,0,0.0,0.2992518703241895,-29.925187032418947,0.0,,0.0,"[0.00232, 0.621]",2.8626351064211887e-05,0.0001193928300482,NO_SOBRERREPRESENTADO
