cluster_a,cluster_b,distancia_coseno,distancia_js,distancia_combinada,senales_compartidas,scian3_compartidos,diferencias_principales
CLUSTER_013,CLUSTER_016,0.050266637980193485,0.15683556197346313,0.1035510999768283,scian_textil:84.3% | actividad_confeccion:70.6% | maquila:36.9% | textil:21.6% | proceso_seco_explicito:17.6%,315:72.5% | 812:8.1% | 314:6.7%,textil:31.5pp | proceso_seco_explicito:30.0pp | actividad_confeccion:10.6pp
CLUSTER_008,CLUSTER_013,0.09771326152986626,0.11354248996707549,0.10562787574847088,scian_textil:91.9% | actividad_confeccion:81.2% | textil:45.1% | maquila:36.9% | proceso_seco_explicito:15.7%,315:85.2% | 812:8.0% | 314:3.0%,senal_mezclilla_o_pantalon:40.7pp | senal_pantalon:35.9pp | proceso_seco_explicito:31.9pp
CLUSTER_016,CLUSTER_017,0.03272924342319339,0.17989290289927246,0.10631107316123292,scian_textil:84.3% | actividad_confeccion:70.6% | textil:21.6% | maquila:17.8% | proceso_seco_explicito:17.6%,315:72.5% | 812:13.3% | 314:2.2%,maquila:27.3pp | actividad_confeccion:13.9pp | proceso_seco_explicito:6.8pp
CLUSTER_020,CLUSTER_021,0.05386907690823861,0.15933729782021527,0.10660318736422694,actividad_lavanderia_tintoreria:41.9% | scian_lavanderia:41.9% | scian_textil:40.7% | lavado_generico:38.7% | actividad_confeccion:20.9%,812:41.9% | 315:24.1% | 313:8.4%,scian_textil:17.4pp | scian_lavanderia:17.4pp | actividad_lavanderia_tintoreria:17.4pp
CLUSTER_009,CLUSTER_010,0.02057275123136637,0.19444366846378006,0.10750820984757321,scian_textil:96.5% | actividad_tejido_hilado:80.0% | produccion:20.0% | maquila:9.2% | textil:3.5%,315:95.8%,actividad_confeccion:16.0pp | actividad_tejido_hilado:15.1pp | textil:13.1pp
CLUSTER_017,CLUSTER_019,0.04415520306242415,0.17120539037266247,0.10768029671754331,scian_textil:86.7% | actividad_confeccion:76.0% | textil:24.4% | proceso_seco_explicito:23.0% | maquila:17.8%,315:80.0% | 812:9.0% | 314:2.2%,maquila:26.2pp | produccion:23.9pp | textil:14.6pp
CLUSTER_008,CLUSTER_017,0.11046383060508247,0.11332251014163379,0.11189317037335814,scian_textil:86.7% | actividad_confeccion:84.4% | textil:24.4% | maquila:17.8% | proceso_seco_explicito:15.7%,315:84.4% | 812:8.0% | 314:2.2%,senal_mezclilla_o_pantalon:40.7pp | maquila:38.0pp | senal_pantalon:35.9pp
CLUSTER_007,CLUSTER_015,0.017306242517249326,0.2157894875246785,0.11654786502096391,scian_textil:51.1% | scian_lavanderia:44.4% | actividad_lavanderia_tintoreria:44.4% | lavado_generico:37.4% | actividad_confeccion:31.3%,812:44.4% | 315:34.3% | 314:8.1%,maquila:8.9pp | actividad_confeccion:8.9pp | actividad_tejido_hilado:7.0pp
CLUSTER_012,CLUSTER_016,0.08882796525433656,0.1506927801201209,0.11976037268722874,scian_textil:84.3% | actividad_confeccion:70.6% | maquila:25.0% | textil:21.6% | proceso_seco_explicito:17.6%,315:72.5% | 812:7.1% | 314:4.9%,textil:44.1pp | proceso_seco_explicito:31.0pp | maquila:20.1pp
CLUSTER_005,CLUSTER_008,0.08113475569481132,0.1629758514287807,0.12205530356179602,scian_textil:92.0% | actividad_confeccion:78.8% | maquila:55.8% | textil:27.3% | proceso_seco_explicito:15.7%,315:87.5% | 812:6.1% | 313:1.5%,senal_mezclilla_o_pantalon:40.7pp | senal_pantalon:35.9pp | textil:17.8pp
CLUSTER_008,CLUSTER_016,0.07768068951877594,0.1683768788491168,0.12302878418394637,scian_textil:84.3% | actividad_confeccion:70.6% | maquila:45.1% | textil:21.6% | proceso_seco_explicito:15.7%,315:72.5% | 812:8.0% | 314:3.0%,senal_mezclilla_o_pantalon:38.7pp | senal_pantalon:33.9pp | textil:23.5pp
CLUSTER_015,CLUSTER_020,0.0491298625190828,0.20747173768332206,0.12830080010120243,actividad_lavanderia_tintoreria:48.9% | scian_lavanderia:48.9% | scian_textil:40.7% | lavado_generico:38.0% | actividad_confeccion:20.9%,812:48.9% | 315:24.1% | 314:8.2%,actividad_confeccion:19.3pp | scian_textil:10.4pp | actividad_lavanderia_tintoreria:10.4pp
CLUSTER_014,CLUSTER_015,0.07692673135898787,0.18173641746405259,0.1293315744115202,scian_textil:51.1% | actividad_confeccion:40.2% | actividad_lavanderia_tintoreria:35.7% | lavado_generico:35.7% | scian_lavanderia:35.7%,315:41.3% | 812:35.7% | 314:8.7%,proceso_seco_explicito:24.4pp | textil:20.0pp | actividad_bordado_deshilado:16.0pp
CLUSTER_005,CLUSTER_019,0.03023845348823251,0.23694573611023192,0.13359209479923223,scian_textil:91.0% | actividad_confeccion:76.0% | maquila:44.0% | textil:27.3% | proceso_seco_explicito:23.0%,315:80.0% | 812:6.1% | 313:2.0%,produccion:22.9pp | maquila:19.6pp | textil:11.7pp
CLUSTER_004,CLUSTER_005,0.015267963297066922,0.2577498200670882,0.13650889168207755,scian_textil:92.9% | actividad_confeccion:78.6% | maquila:60.7% | textil:27.3% | actividad_tejido_hilado:7.1%,315:85.7% | 812:6.1%,proceso_seco_explicito:20.1pp | mezclilla:7.1pp | senal_mezclilla_o_pantalon:7.1pp
CLUSTER_005,CLUSTER_012,0.08668071834781588,0.1914799062092365,0.13908031227852619,scian_textil:92.9% | actividad_confeccion:78.8% | proceso_seco_explicito:27.3% | textil:27.3% | maquila:25.0%,315:86.6% | 812:6.1% | 313:1.3%,maquila:38.6pp | textil:38.4pp | proceso_seco_explicito:21.4pp
CLUSTER_005,CLUSTER_017,0.06024575174568314,0.2274690375371211,0.14385739464140213,scian_textil:86.7% | actividad_confeccion:78.8% | proceso_seco_explicito:24.4% | textil:24.4% | maquila:17.8%,315:84.4% | 812:6.1%,maquila:45.9pp | actividad_tejido_hilado:9.1pp | scian_textil:7.3pp
CLUSTER_005,CLUSTER_016,0.019148573612553177,0.2795539908870074,0.14935128224978028,scian_textil:84.3% | actividad_confeccion:70.6% | maquila:45.1% | textil:21.6% | proceso_seco_explicito:17.6%,315:72.5% | 812:6.1% | 313:2.0%,maquila:18.5pp | scian_textil:9.6pp | actividad_lavanderia_tintoreria:9.6pp
CLUSTER_005,CLUSTER_013,0.044388395685307724,0.2549984621096536,0.14969342889748066,scian_textil:91.9% | actividad_confeccion:78.8% | maquila:36.9% | textil:27.3% | proceso_seco_explicito:27.3%,315:85.2% | 812:6.1%,maquila:26.7pp | textil:25.7pp | proceso_seco_explicito:20.4pp
CLUSTER_015,CLUSTER_021,0.055985157961969345,0.26363774447354904,0.1598114512177592,scian_textil:51.1% | scian_lavanderia:41.9% | actividad_lavanderia_tintoreria:41.9% | lavado_generico:38.0% | actividad_confeccion:25.8%,812:41.9% | 315:29.0% | 314:8.7%,textil:19.6pp | proceso_seco_explicito:18.5pp | actividad_confeccion:14.4pp
CLUSTER_011,CLUSTER_014,0.08555114744742442,0.24501213952149123,0.16528164348445784,scian_textil:64.3% | textil:37.5% | actividad_confeccion:37.5% | proceso_seco_explicito:37.5% | produccion:25.0%,315:42.9% | 314:21.4% | 812:12.5%,scian_lavanderia:23.2pp | lavado_generico:23.2pp | actividad_lavanderia_tintoreria:23.2pp
CLUSTER_007,CLUSTER_018,0.041589953454378104,0.2896702419803206,0.16563009771734935,scian_textil:55.6% | scian_lavanderia:40.6% | actividad_lavanderia_tintoreria:40.6% | actividad_confeccion:31.3% | lavado_generico:31.2%,812:40.6% | 315:34.3% | 314:8.1%,textil:22.6pp | proceso_seco_explicito:15.0pp | actividad_confeccion:9.3pp
CLUSTER_007,CLUSTER_014,0.07280080320120819,0.3083383859818172,0.19056959459151268,scian_textil:55.6% | lavado_generico:35.7% | scian_lavanderia:35.7% | actividad_lavanderia_tintoreria:35.7% | actividad_confeccion:31.3%,812:35.7% | 315:34.3% | 314:8.1%,proceso_seco_explicito:29.7pp | textil:18.6pp | actividad_bordado_deshilado:14.4pp
CLUSTER_011,CLUSTER_018,0.12196334776009077,0.2881457557244752,0.205054551742283,scian_textil:59.4% | textil:37.5% | actividad_confeccion:37.5% | proceso_seco_explicito:28.1% | produccion:18.8%,315:40.6% | 314:18.8% | 812:12.5%,scian_textil:28.1pp | scian_lavanderia:28.1pp | actividad_lavanderia_tintoreria:28.1pp
CLUSTER_018,CLUSTER_020,0.13428018345465154,0.2920111702444886,0.21314567684957006,scian_textil:40.7% | scian_lavanderia:40.6% | actividad_lavanderia_tintoreria:40.6% | lavado_generico:31.2% | actividad_confeccion:20.9%,812:40.6% | 315:24.1% | 314:8.2%,textil:32.6pp | actividad_confeccion:19.7pp | proceso_seco_explicito:19.7pp
CLUSTER_011,CLUSTER_019,0.10670493714922968,0.32396927116332264,0.21533710415627616,scian_textil:87.5% | textil:37.5% | actividad_confeccion:37.5% | produccion:25.0% | proceso_seco_explicito:23.0%,315:50.0% | 314:9.0% | 812:9.0%,maquila:44.0pp | actividad_confeccion:38.5pp | actividad_bordado_deshilado:15.0pp
CLUSTER_018,CLUSTER_021,0.13691644782815937,0.30270266651394834,0.21980955717105385,scian_textil:58.1% | scian_lavanderia:40.6% | actividad_lavanderia_tintoreria:40.6% | lavado_generico:31.2% | actividad_confeccion:25.8%,812:40.6% | 315:29.0% | 314:12.9%,textil:43.6pp | proceso_seco_explicito:28.1pp | actividad_confeccion:14.8pp
CLUSTER_011,CLUSTER_013,0.09975467979612207,0.3496387503360573,0.22469671506608968,scian_textil:87.5% | textil:37.5% | actividad_confeccion:37.5% | proceso_seco_explicito:37.5% | produccion:9.4%,315:50.0% | 812:8.1% | 314:6.7%,actividad_confeccion:43.7pp | maquila:36.9pp | actividad_bordado_deshilado:21.0pp
CLUSTER_011,CLUSTER_016,0.15372623150153975,0.2975727291222723,0.22564948031190601,scian_textil:84.3% | actividad_confeccion:37.5% | textil:21.6% | proceso_seco_explicito:17.6% | actividad_lavanderia_tintoreria:12.5%,315:50.0% | 812:12.5% | 314:9.8%,maquila:45.1pp | actividad_confeccion:33.1pp | proceso_seco_explicito:19.9pp
CLUSTER_011,CLUSTER_012,0.08640817144761326,0.3876129959310004,0.23701058368930683,scian_textil:87.5% | textil:37.5% | actividad_confeccion:37.5% | proceso_seco_explicito:37.5% | produccion:21.4%,315:50.0% | 812:7.1% | 314:4.9%,actividad_confeccion:46.4pp | textil:28.1pp | maquila:25.0pp
CLUSTER_014,CLUSTER_021,0.1774173856540836,0.3159269670761755,0.24667217636512956,scian_textil:58.1% | lavado_generico:35.7% | scian_lavanderia:35.7% | actividad_lavanderia_tintoreria:35.7% | actividad_confeccion:25.8%,812:35.7% | 315:29.0% | 314:12.9%,proceso_seco_explicito:42.9pp | textil:39.6pp | produccion:22.1pp
CLUSTER_014,CLUSTER_016,0.20920628407247044,0.28733512477787077,0.2482707044251706,scian_textil:64.3% | actividad_confeccion:42.9% | textil:21.6% | proceso_seco_explicito:17.6% | actividad_lavanderia_tintoreria:15.7%,315:42.9% | 812:15.7% | 314:9.8%,maquila:45.1pp | actividad_confeccion:27.7pp | proceso_seco_explicito:25.2pp
CLUSTER_016,CLUSTER_018,0.19627232528512417,0.30701992314697435,0.25164612421604926,scian_textil:59.4% | actividad_confeccion:40.6% | textil:21.6% | proceso_seco_explicito:17.6% | actividad_lavanderia_tintoreria:15.7%,315:40.6% | 812:15.7% | 314:9.8%,maquila:42.0pp | actividad_confeccion:30.0pp | textil:25.3pp
CLUSTER_014,CLUSTER_020,0.181829590692969,0.32337489407375936,0.25260224238336415,scian_textil:40.7% | lavado_generico:35.7% | scian_lavanderia:35.7% | actividad_lavanderia_tintoreria:35.7% | actividad_confeccion:20.9%,812:35.7% | 315:24.1% | 314:8.2%,proceso_seco_explicito:34.4pp | textil:28.6pp | scian_textil:23.6pp
CLUSTER_015,CLUSTER_016,0.20726914866635293,0.3117317625855296,0.25950045562594126,scian_textil:51.1% | actividad_confeccion:40.2% | textil:21.6% | proceso_seco_explicito:17.6% | actividad_lavanderia_tintoreria:15.7%,315:41.3% | 812:15.7% | 314:8.7%,actividad_lavanderia_tintoreria:33.2pp | scian_lavanderia:33.2pp | scian_textil:33.2pp
CLUSTER_011,CLUSTER_017,0.11258054347887803,0.41121776969770896,0.2618991565882935,scian_textil:86.7% | actividad_confeccion:37.5% | proceso_seco_explicito:24.4% | textil:24.4% | actividad_lavanderia_tintoreria:12.5%,315:50.0% | 812:12.5% | 314:2.2%,actividad_confeccion:46.9pp | actividad_bordado_deshilado:22.8pp | maquila:17.8pp
CLUSTER_004,CLUSTER_009,0.33074375972779013,0.20784766297420817,0.26929571135099917,scian_textil:92.9% | textil:16.7% | actividad_confeccion:16.7% | maquila:10.0% | actividad_tejido_hilado:7.1%,315:85.7% | 314:3.3%,actividad_tejido_hilado:72.9pp | actividad_confeccion:61.9pp | maquila:50.7pp
CLUSTER_014,CLUSTER_019,0.18705393562376493,0.3627625579876718,0.27490824680571835,scian_textil:64.3% | actividad_confeccion:42.9% | textil:39.0% | produccion:28.6% | proceso_seco_explicito:23.0%,315:42.9% | 314:9.0% | 812:9.0%,maquila:44.0pp | actividad_confeccion:33.1pp | lavado_generico:27.7pp
CLUSTER_006,CLUSTER_011,0.25960876461338456,0.2922549028705164,0.2759318337419505,scian_textil:87.5% | actividad_confeccion:37.5% | textil:20.0% | proceso_seco_explicito:15.0% | produccion:10.0%,315:40.0% | 314:37.5%,maquila:80.0pp | actividad_bordado_deshilado:25.0pp | proceso_seco_explicito:22.5pp
CLUSTER_013,CLUSTER_014,0.1745309334373364,0.38578775814182176,0.2801593457895791,scian_textil:64.3% | textil:42.9% | actividad_confeccion:42.9% | proceso_seco_explicito:42.9% | produccion:9.4%,315:42.9% | 812:8.1% | 314:6.7%,actividad_confeccion:38.4pp | maquila:36.9pp | lavado_generico:28.3pp
CLUSTER_004,CLUSTER_011,0.21547434061780424,0.3482307913605446,0.2818525659891744,scian_textil:87.5% | actividad_confeccion:37.5% | textil:28.6% | scian_lavanderia:7.1% | proceso_seco_explicito:7.1%,315:50.0% | 314:7.1% | 812:7.1%,maquila:60.7pp | actividad_confeccion:41.1pp | proceso_seco_explicito:30.4pp
CLUSTER_009,CLUSTER_013,0.3489865649760068,0.21688661956326438,0.2829365922696356,scian_textil:91.9% | textil:16.7% | actividad_confeccion:16.7% | proceso_seco_explicito:10.0% | maquila:10.0%,315:85.2% | 314:3.3%,actividad_tejido_hilado:76.6pp | actividad_confeccion:64.5pp | proceso_seco_explicito:37.7pp
CLUSTER_014,CLUSTER_017,0.17503629197754456,0.3914554949952084,0.28324589348637647,scian_textil:64.3% | actividad_confeccion:42.9% | proceso_seco_explicito:24.4% | textil:24.4% | actividad_lavanderia_tintoreria:13.3%,315:42.9% | 812:13.3% | 314:2.2%,actividad_confeccion:41.6pp | lavado_generico:22.4pp | actividad_lavanderia_tintoreria:22.4pp
CLUSTER_009,CLUSTER_012,0.36158026495657536,0.21330366066345438,0.2874419628100149,scian_textil:92.9% | produccion:20.0% | actividad_confeccion:16.7% | textil:16.7% | maquila:10.0%,315:86.6% | 314:3.3%,actividad_tejido_hilado:78.2pp | actividad_confeccion:67.3pp | textil:49.0pp
