id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado
8119999,21132811192001001000000000U7,AUTO LAVADO CASCADA,811192,19.27802572,-98.43866577,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001001000000000u7 auto lavado cascada 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
8559681,21132463111000151000000000U2,TEXTILES LA POBLANITA,463111,19.28006773,-98.43519894,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132463111000151000000000u2 textiles la poblanita 463111 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,463111
8777395,21132811192001071000000000U0,AUTOLAVADO GONZALEZ,811192,19.2866614,-98.46604566,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001071000000000u0 autolavado gonzalez 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9490264,21132811192001361000000000U5,AUTOLAVADO SIN NOMBRE,811192,19.28202643,-98.45965383,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001361000000000u5 autolavado sin nombre 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9519197,21132811192001491000000000U0,AUTOLAVADO JL,811192,19.2808336,-98.41762102,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001491000000000u0 autolavado jl 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9552405,21132811192001181000000000U7,AUTO LAVADO YARIS,811192,19.27780353,-98.43460206,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001181000000000u7 auto lavado yaris 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9775335,29019467115000241000000000U9,QUIMICOS TEXTILES RL,467115,19.28064822,-98.39509649,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,29019467115000241000000000u9 quimicos textiles rl 467115 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,467115
9847134,21132811192001111000000000U4,AUTOLAVADO SAN RAFAEL,811192,19.28133919,-98.44646543,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001111000000000u4 autolavado san rafael 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9894490,21132811192001341000000000U7,AUTOLAVADO MUÑOZ,811192,19.2838697,-98.43137146,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001341000000000u7 autolavado munoz 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
9929064,21132463310002381000000000U1,SERVICIO DE COSTURA SIN NOMBRE,463310,19.29399604,-98.47007702,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132463310002381000000000u1 servicio de costura sin nombre 463310 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,463310
9958954,21132811192001401000000000U9,AUTO LAVADO,811192,19.27757537,-98.43875014,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21132811192001401000000000u9 auto lavado 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
10267840,21143811192000141000000000U9,AUTOLAVADO JUNIOR,811192,19.26450556,-98.49435393,data\raw\agebs\san_martin\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\san_martin,denue,21143811192000141000000000u9 autolavado junior 811192 data\raw\agebs\san_martin\inegi_denue_.shp inegi_denue_.shp agebs\san_martin denue,811192
