id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,categoria_auditada,notas_auditoria
3325813,21074313210000056111000000U9,INDUSTRIAS MAQUIN,313230,agebs\huejotzingo,revisar,,921.240971064623,500-1000 m,19.1613441,-98.39156164,,
3325963,21074315225000111000000000U8,SONIA MENDEZ NOVIAS,315225,agebs\huejotzingo,revisar,,1041.6673268475884,>1000 m,19.16396502,-98.40408051,,
8271641,21074465915000021010000000U3,CREACIONES MAYRA,315224,agebs\huejotzingo,revisar,,363.02028706415024,250-500 m,19.16529124,-98.40650601,,
10118182,21074812210000811000000000U3,CLEAN CLOTHES,812210,agebs\huejotzingo,revisar,,604.9447386743516,500-1000 m,19.14838929,-98.40590617,,
10205167,21074313210000083000000000U3,BODEGA PUNTO FINO EN TELAS,313210,agebs\huejotzingo,revisar,,1062.5231882058863,>1000 m,19.16269282,-98.38682009,,
10340864,21074812210000731000000000U3,TINTOWASH,812210,agebs\huejotzingo,revisar,,1184.0365846332002,>1000 m,19.16123838,-98.40864821,,
6378222,21074315191000014013000000U8,MARTINTER,315122,agebs\huejotzingo,revisar,,1139.9312904544468,>1000 m,19.14389571,-98.38613242,,
6380168,21074313113000045001000000U8,VERTICAL SPIN,313112,agebs\huejotzingo,revisar,,339.0207525277182,250-500 m,19.15782475,-98.38511663,,
6380169,21074313113000035010000000U9,TRITON INDUSTRIAL,313112,agebs\huejotzingo,revisar,,101.19118992559518,100-250 m,19.16088818,-98.38644329,,
6856149,21074315191000026011000000U2,SEAMLESS GLOBAL SOLUTIONS,315122,agebs\huejotzingo,revisar,,1232.9655493201435,>1000 m,19.16263095,-98.38664062,,
6874492,21074313240000014000000000U5,TITAN TEXTIL ,313240,agebs\huejotzingo,revisar,textil,582.2260636269618,500-1000 m,19.16048969,-98.38637504,,
6874618,21074313112000065100000000U8,HIDRA TEXTIL,313112,agebs\huejotzingo,revisar,textil,806.9482026696959,500-1000 m,19.16038291,-98.38635676,,
6875485,21074313112000075002000000U7,GRUPO PORTATEX,313112,agebs\huejotzingo,revisar,,592.7731565464154,500-1000 m,19.16162098,-98.3870298,,
8271868,21074315224000011000000000U3,TRAJES DE CARNAVAL LA CASA DEL CARNAVAL,315224,agebs\huejotzingo,revisar,,1141.1324911112138,>1000 m,19.16042259,-98.40712901,,
8272057,21074315224000021000000000U2,TRAJES DE CARNAVAL SIN NOMBRE,315224,agebs\huejotzingo,revisar,,674.8507246458815,500-1000 m,19.16808812,-98.40523461,,
8559701,21074314993000013000000000U0,FIBRAS TEXTIL NEPTUNO,314993,agebs\huejotzingo,revisar,textil,197.68647711265507,100-250 m,19.16161451,-98.38403303,,
9440701,21074313230000023001000000U7,SCHALLSCHUTZ DE MEXICO,313230,agebs\huejotzingo,revisar,,369.7851013485955,250-500 m,19.16272836,-98.37914315,,
9522648,21074812210000591000000000U1,TINTOWASH,812210,agebs\huejotzingo,revisar,,105.14881671981745,100-250 m,19.16599298,-98.40553468,,
9567689,21060315225000021000000000U8,VESTIDOS DE NOVIA SIN NOMRE,315225,agebs\huejotzingo,revisar,,361.2385113810431,250-500 m,19.14261702,-98.45347723,,
9844272,21074314991000333000000000U6,GEMINIS TEXTIL,314991,agebs\huejotzingo,revisar,textil,105.57486391863836,100-250 m,19.15548527,-98.41286449,,
10066057,21074315224000102000000000U0,BORDARTE,314991,agebs\huejotzingo,revisar,,315.8104437723157,250-500 m,19.160108,-98.40799474,,
10582863,21074313220000025000000000U3,CINTAS Y ETIQUETAS ESPINO,313220,agebs\huejotzingo,revisar,,125.67999974369457,100-250 m,19.16242646,-98.37899739,,
10597677,21074313240000023000000000U6,BEKAERTDESLEE,313240,agebs\huejotzingo,revisar,,241.0926120900237,100-250 m,19.17966759,-98.37502579,,
10978442,21074812210000741000000000U2,MAGIC WASH SERVICIOS,812210,agebs\huejotzingo,revisar,,754.4336315324291,500-1000 m,19.14958454,-98.40537115,,
11095597,21074315224000091000000000U5,MASCARAS DE CARNAVAL,315224,agebs\huejotzingo,revisar,,51.536118971083646,0-100 m,19.15676224,-98.41094181,,
11484735,21074313111000021000000000U3,CASA OLIVER,313111,agebs\huejotzingo,revisar,,307.29928807558366,250-500 m,19.16097359,-98.4070651,,
11488206,21074315121000023000000000U6,BONETERA DE PUEBLA SAN JOSE,315121,agebs\huejotzingo,revisar,,39.38290354228654,0-100 m,19.14630178,-98.38867009,,
11620168,21074315224000081000000000U6,ARTESANIAS PARA CARNAVAL SIN NOMBRE,315224,agebs\huejotzingo,revisar,,454.55666820531616,250-500 m,19.16739713,-98.40361347,,
11827938,21074313210000105000000000U4,INDORAMA VENTURES MOBILITY PUEBLA,313210,agebs\huejotzingo,revisar,,211.67224426260253,100-250 m,19.15856927,-98.37948213,,
