id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,source_folder,categoria_relevancia_ambiental,palabras_clave_detectadas,distancia_hidrografia_m,rango_distancia_hidrografia,latitud,longitud,nota_metodologica
3325813,21074313210000056111000000U9,INDUSTRIAS MAQUIN,313230,agebs\huejotzingo,revisar,,921.240971064623,500-1000 m,19.1613441,-98.39156164,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
3325963,21074315225000111000000000U8,SONIA MENDEZ NOVIAS,315225,agebs\huejotzingo,revisar,,1041.6673268475884,>1000 m,19.16396502,-98.40408051,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8271641,21074465915000021010000000U3,CREACIONES MAYRA,315224,agebs\huejotzingo,revisar,,363.02028706415024,250-500 m,19.16529124,-98.40650601,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10118182,21074812210000811000000000U3,CLEAN CLOTHES,812210,agebs\huejotzingo,revisar,,604.9447386743516,500-1000 m,19.14838929,-98.40590617,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10205167,21074313210000083000000000U3,BODEGA PUNTO FINO EN TELAS,313210,agebs\huejotzingo,revisar,,1062.5231882058863,>1000 m,19.16269282,-98.38682009,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10340864,21074812210000731000000000U3,TINTOWASH,812210,agebs\huejotzingo,revisar,,1184.0365846332002,>1000 m,19.16123838,-98.40864821,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6378222,21074315191000014013000000U8,MARTINTER,315122,agebs\huejotzingo,revisar,,1139.9312904544468,>1000 m,19.14389571,-98.38613242,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6380168,21074313113000045001000000U8,VERTICAL SPIN,313112,agebs\huejotzingo,revisar,,339.0207525277182,250-500 m,19.15782475,-98.38511663,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6380169,21074313113000035010000000U9,TRITON INDUSTRIAL,313112,agebs\huejotzingo,revisar,,101.19118992559518,100-250 m,19.16088818,-98.38644329,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6856149,21074315191000026011000000U2,SEAMLESS GLOBAL SOLUTIONS,315122,agebs\huejotzingo,revisar,,1232.9655493201437,>1000 m,19.16263095,-98.38664062,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6874492,21074313240000014000000000U5,TITAN TEXTIL ,313240,agebs\huejotzingo,revisar,textil,582.2260636269618,500-1000 m,19.16048969,-98.38637504,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6874618,21074313112000065100000000U8,HIDRA TEXTIL,313112,agebs\huejotzingo,revisar,textil,806.9482026696959,500-1000 m,19.16038291,-98.38635676,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
6875485,21074313112000075002000000U7,GRUPO PORTATEX,313112,agebs\huejotzingo,revisar,,592.7731565464154,500-1000 m,19.16162098,-98.3870298,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8271868,21074315224000011000000000U3,TRAJES DE CARNAVAL LA CASA DEL CARNAVAL,315224,agebs\huejotzingo,revisar,,1141.1324911112138,>1000 m,19.16042259,-98.40712901,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8272057,21074315224000021000000000U2,TRAJES DE CARNAVAL SIN NOMBRE,315224,agebs\huejotzingo,revisar,,674.8507246458815,500-1000 m,19.16808812,-98.40523461,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
8559701,21074314993000013000000000U0,FIBRAS TEXTIL NEPTUNO,314993,agebs\huejotzingo,revisar,textil,197.68647711265507,100-250 m,19.16161451,-98.38403303,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9440701,21074313230000023001000000U7,SCHALLSCHUTZ DE MEXICO,313230,agebs\huejotzingo,revisar,,369.7851013485955,250-500 m,19.16272836,-98.37914315,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9522648,21074812210000591000000000U1,TINTOWASH,812210,agebs\huejotzingo,revisar,,105.14881671981743,100-250 m,19.16599298,-98.40553468,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9567689,21060315225000021000000000U8,VESTIDOS DE NOVIA SIN NOMRE,315225,agebs\huejotzingo,revisar,,361.2385113810431,250-500 m,19.14261702,-98.45347723,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
9844272,21074314991000333000000000U6,GEMINIS TEXTIL,314991,agebs\huejotzingo,revisar,textil,105.57486391863837,100-250 m,19.15548527,-98.41286449,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10066057,21074315224000102000000000U0,BORDARTE,314991,agebs\huejotzingo,revisar,,315.81044377231575,250-500 m,19.160108,-98.40799474,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10582863,21074313220000025000000000U3,CINTAS Y ETIQUETAS ESPINO,313220,agebs\huejotzingo,revisar,,125.67999974369455,100-250 m,19.16242646,-98.37899739,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
