id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica,distancia_hidrografia_m,en_buffer_100m,en_buffer_250m,en_buffer_500m,en_buffer_1000m,rango_distancia_hidrografia,localidad,municipio,actividad_denue_original,codigo_scian_original,texto_busqueda_normalizado,etapa_productiva_sugerida,etapa_productiva_secundaria,subtipo_confeccion,presion_ambiental_potencial,confianza_clasificacion,evidencia_clasificacion,palabras_clave_etapa,reglas_activadas,tiene_senal_proceso_humedo,tiene_senal_mezclilla_jeans,tiene_senal_lavado_deslavado,tiene_senal_tenido_tintoreria,tiene_senal_acabado_tratamiento,tiene_senal_industrial,tiene_senal_maquila,tiene_senal_planchado,es_confeccion_especializada,es_comercio_o_renta,requiere_auditoria_manual,motivo_auditoria,prioridad_auditoria,prioridad_campo,motivo_prioridad_campo,decision_estudio_sugerida,decision_alcance_proyecto,motivo_exclusion_prioritaria,flag_universo_alcance_proyecto,motivo_universo_alcance_proyecto,flag_fuera_alcance_productivo_textil,flag_estudio_prioritario,motivo_flag_estudio_prioritario,flag_proceso_humedo_relevante,flag_mezclilla_jeans,flag_lavado_deslavado,flag_tenido_tintoreria,flag_acabado_tratamiento,flag_maquila_productiva,flag_confeccion_especializada_baja_relevancia,flag_comercio_o_renta,flag_requiere_auditoria_manual,flag_prioridad_campo,flag_cercania_hidrografia_250m,flag_senal_industrial,flag_texto_ambiguo,flag_posible_falso_positivo,flag_posible_falso_negativo,query_maps,query_web,categoria_auditada,etapa_productiva_auditada,notas_auditoria,fuente_auditoria,decision_estudio,fecha_auditoria,auditor_responsable,flag_excluido_auditoria_manual_false,categoria_auditada_manual,notas_auditoria_manual,_id_key,fuente_geometria,nombre_mapa,raz_social,nombre_clase_actividad_scian,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,cve_loc,ageb,manzana,telefono,correoelec,www,tipoUniEco,fecha_alta,regla_exc_nombre_no_objetivo,regla_exc_actividad_no_objetivo,regla_exc_decision_previa,regla_inc_humedo_flags,regla_inc_humedo_texto,regla_inc_humedo_etapa_scian,regla_inc_mezclilla_nombre,regla_inc_mezclilla_etapa,regla_inc_material_textil,flag_foco_estricto_tratamiento,flag_foco_estricto_mezclilla,flag_foco_estricto_material_textil,flag_foco_textil_estricto,reglas_inclusion_activadas,reglas_exclusion_activadas,decision_filtro_estricto,motivo_decision_filtro,categoria_foco_estricto,en_universo_canonico_original,en_mh_filtrado,en_filtrado_2026_santa,senales_foco_estricto,nota_metodologica_foco,Name,DENUE,ID DENUE,en_foco_estricto,perfil_comparacion,comparacion_canonico_vs_mh,comparacion_canonico_vs_foco,membresias_resumen
10086701,21074812210000601000000000U8,LAVANDERIA MEXICO,812210,19.21429934,-98.38564064,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000601000000000u8 lavanderia mexico 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",537.6024209147453,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000601000000000u8 lavanderia mexico 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia mexico 21074812210000601000000000u8 lavanderia mexico 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA MEXICO Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,10086701,canonico_original,LAVANDERIA MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,19.20441257,-98.38004211,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074315223001011000000000u4 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,maquila; mezclilla; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",720.0807508899742,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074315223001011000000000u4 maquila de pantalon de mezclilla sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,maquila de pantalon de mezclilla sin nombre 21074315223001011000000000u4 maquila de pantalon de mezclilla sin nombre 315229 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 315229 maquila mezclilla pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: mezclilla | maquila: maquila | confeccion: pantalon,maquila; mezclilla,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla mezclilla jeans maquila textil,,,,,,,,False,,,10099363,canonico_original,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
10451408,21074812210000861000000000U8,STONE LAV,812210,19.21703648,-98.37353551,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000861000000000u8 stone lav 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",473.24907926560644,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000861000000000u8 stone lav 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,stone lav 21074812210000861000000000u8 stone lav 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210,lavanderia_industrial,,,alta,media,SCIAN 812210,,scian_812210,True,False,False,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,STONE LAV Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,STONE LAV Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,10451408,canonico_original,STONE LAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,812210,19.20672151,-98.37428614,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000772000000000u7 lavanderia sin nombre 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1006.648748591569,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000772000000000u7 lavanderia sin nombre 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia sin nombre 21074812210000772000000000u7 lavanderia sin nombre 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,10801837,canonico_original,LAVANDERIA SIN NOMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
10876257,21074812210000751000000000U1,LAVANDERIA MA & MA,812210,19.21136579,-98.38497712,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000751000000000u1 lavanderia ma & ma 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",880.4715581569069,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000751000000000u1 lavanderia ma & ma 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia ma ma 21074812210000751000000000u1 lavanderia ma ma 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA MA & MA Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA MA & MA Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,10876257,canonico_original,LAVANDERIA MA & MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,812210,19.21328834,-98.37489147,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000921000000000u0 bodega sin nombre 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",751.7410027638481,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000921000000000u0 bodega sin nombre 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,bodega sin nombre 21074812210000921000000000u0 bodega sin nombre 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210,lavanderia_industrial,,,alta,media,SCIAN 812210,,scian_812210,True,False,False,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,BODEGA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,BODEGA SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,11081907,canonico_original,BODEGA SIN NOMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,False,canonico_2026_no_foco_no_mh,solo_canonico_original,solo_canonico_original,canonico original; filtrado 2026
11096797,21074812210000642000000000U2,LAVADOS Y PROCESOS FLORES,812210,19.19818966,-98.41940636,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000642000000000u2 lavados y procesos flores 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavado,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",971.5512807745988,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000642000000000u2 lavados y procesos flores 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavados y procesos flores 21074812210000642000000000u2 lavados y procesos flores 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavado,lavado_deslavado,lavanderia_industrial,,alta,alta,SCIAN 812210 | lavado_deslavado: lavado,lavado,scian_812210; texto_lavado_deslavado,True,False,True,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVADOS Y PROCESOS FLORES Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVADOS Y PROCESOS FLORES Santa Ana Xalmimilulco Huejotzingo Puebla lavado deslavado mezclilla jeans,,,,,,,,False,,,11096797,canonico_original,LAVADOS Y PROCESOS FLORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,,,,,False,solo_canonico_original,solo_canonico_original,solo_canonico_original,canonico original
11133786,21074315229002281000000000U9,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,315229,19.20687249,-98.38149947,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074315229002281000000000u9 maquila deshebrado de pantalon sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,deshebrado; maquila; pantalon,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",288.13956171958114,False,False,True,True,250-500 m,Santa Ana Xalmimilulco,Huejotzingo,21074315229002281000000000u9 maquila deshebrado de pantalon sin nombre 315229 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,315229,maquila deshebrado de pantalon sin nombre 21074315229002281000000000u9 maquila deshebrado de pantalon sin nombre 315229 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 315229 deshebrado maquila pantalon,fabricacion_mezclilla,confeccion_maquila,maquila_productiva,media,media,SCIAN 315229 | mezclilla_jeans: deshebrado | maquila: maquila | confeccion: pantalon,deshebrado; maquila,scian_prefijo_315; texto_confeccion; texto_maquila; texto_mezclilla_jeans,False,True,False,False,False,False,True,False,False,False,True,mezclilla/jeans sin evidencia directa de proceso humedo,alta,media,contexto productivo textil,validar_documentalmente,dentro_alcance_proyecto,,True,senal de mezclilla/jeans,False,True,contexto productivo textil,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE Santa Ana Xalmimilulco Huejotzingo Puebla mezclilla jeans maquila textil,,,,,,,,False,,,11133786,canonico_original,MAQUILA DESHEBRADO DE PANTALON SIN NOMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,812210,19.20557939,-98.36887278,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000672000000000u9 lavanderia los solares 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",1000.2348478542126,False,False,False,False,>1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000672000000000u9 lavanderia los solares 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,lavanderia los solares 21074812210000672000000000u9 lavanderia los solares 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210 lavanderia,lavanderia_industrial,,,alta,media,SCIAN 812210 | lavanderia_industrial: lavanderia,lavanderia,scian_812210; texto_lavanderia_industrial,True,False,True,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento; senal especifica de lavado/deslavado/lavanderia,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,LAVANDERIA LOS SOLARES Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,LAVANDERIA LOS SOLARES Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,11149643,canonico_original,LAVANDERIA LOS SOLARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,True,canonico_foco_2026_no_mh,solo_canonico_original,canonico_y_foco_estricto,canonico original; foco estricto alternativo; filtrado 2026
11183668,21074812210000251000000000U2,BODEGA DE DESPERDICIO,812210,19.2111932,-98.37746045,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074812210000251000000000u2 bodega de desperdicio 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,,revisar,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa.",750.8931252658,False,False,False,True,500-1000 m,Santa Ana Xalmimilulco,Huejotzingo,21074812210000251000000000u2 bodega de desperdicio 812210 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,812210,bodega de desperdicio 21074812210000251000000000u2 bodega de desperdicio 812210 data raw agebs xalmimilulco inegi denue shp inegi denue shp agebs xalmimilulco denue 812210,lavanderia_industrial,,,alta,media,SCIAN 812210,,scian_812210,True,False,False,False,False,False,False,False,False,False,False,,alta,alta,proceso humedo o tratamiento; senal compatible con proceso humedo o tratamiento de prendas,incluir_prioritario,dentro_alcance_proyecto,,True,senal de proceso humedo o tratamiento,False,True,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,BODEGA DE DESPERDICIO Santa Ana Xalmimilulco Huejotzingo Puebla Google Maps,BODEGA DE DESPERDICIO Santa Ana Xalmimilulco Huejotzingo Puebla lavanderia industrial textil prendas,,,,,,,,False,,,11183668,canonico_original,BODEGA DE DESPERDICIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,,,,,,False,canonico_2026_no_foco_no_mh,solo_canonico_original,solo_canonico_original,canonico original; filtrado 2026
