conjunto,registros
denue_2026_santa_ana_total,1732
denue_textil_candidatos,361
universo_canonico_original_santa_ana,38
mh_filtrado,49
mh_filtrado_con_id,43
mh_filtrado_sin_id,6
universo_relevante_filtro_explicito,293
registros_revisar_filtro_explicito,18
union_comparacion,322
