comparacion,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,municipio,etapa_productiva_sugerida,distancia_hidrografia_m,motivo_flag_estudio_prioritario
solo_universo_actual,3325807,21074315229001032000000000U7,TEXTILERA DE PANTALON JEANS EMOCIONES,315229,Huejotzingo,Huejotzingo,fabricacion_mezclilla,563.1612887761776,contexto productivo textil
solo_universo_actual,8271825,21074812210000401000000000U3,TINTORERIA HIGIENICA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,550.7543521535267,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento
solo_universo_actual,8279928,21074812210000541000000000U6,LAVANDERIA EL REHILETE,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,658.4668822693124,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento
solo_universo_actual,8592165,21074812210000571000000000U3,LAVANDERIA SUNNY CLEAN,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,184.002792065141,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia
solo_universo_actual,8803988,21074812210000561000000000U4,TINTORERIA SANTIAGO,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,153.3478692122728,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia
solo_universo_actual,9347738,21074315229002223001000000U1,MAQUILADORA ESTYR BLUE MICHELLE JEANS,315229,Huejotzingo,Huejotzingo,fabricacion_mezclilla,22.24969336173728,actividad productiva o ambigua cerca de hidrografia
solo_universo_actual,10070109,21074812210000981000000000U4,LAVANDERIA JUQUILITA,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,46.680596086480165,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento y distancia <= 250 m a hidrografia
solo_universo_actual,10118182,21074812210000811000000000U3,CLEAN CLOTHES,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,604.9447386743516,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento
solo_universo_actual,10340864,21074812210000731000000000U3,TINTOWASH,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,1184.0365846332002,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento
solo_universo_actual,10501043,21074812210000801000000000U4,LAVANDERIA RAPIDI WUASH,812210,Huejotzingo,Huejotzingo,lavanderia_industrial,532.6146971833612,senal compatible con proceso humedo o tratamiento de prendas; proceso humedo o tratamiento
