grupo_espacial,scian_6,n,pct_grupo
CLUSTER_015,314991,5,5.434782608695652
CLUSTER_015,315123,1,1.0869565217391304
CLUSTER_015,315222,1,1.0869565217391304
CLUSTER_015,315223,4,4.3478260869565215
CLUSTER_015,315224,1,1.0869565217391304
CLUSTER_015,315225,9,9.782608695652174
CLUSTER_015,315229,22,23.91304347826087
CLUSTER_015,812210,45,48.91304347826087
CLUSTER_016,313310,1,1.9607843137254901
CLUSTER_016,314120,2,3.9215686274509802
CLUSTER_016,314991,3,5.882352941176471
CLUSTER_016,315123,1,1.9607843137254901
CLUSTER_016,315223,3,5.882352941176471
CLUSTER_016,315225,2,3.9215686274509802
CLUSTER_016,315229,31,60.78431372549019
CLUSTER_016,812210,8,15.686274509803921
CLUSTER_017,314991,1,2.2222222222222223
CLUSTER_017,315223,4,8.88888888888889
CLUSTER_017,315225,15,33.333333333333336
CLUSTER_017,315229,19,42.22222222222222
CLUSTER_017,812210,6,13.333333333333334
CLUSTER_018,314110,1,3.125
CLUSTER_018,314120,1,3.125
CLUSTER_018,314912,1,3.125
CLUSTER_018,314991,3,9.375
CLUSTER_018,315223,1,3.125
CLUSTER_018,315225,10,31.25
CLUSTER_018,315229,2,6.25
CLUSTER_018,812210,13,40.625
CLUSTER_019,313220,2,2.0
CLUSTER_019,314991,9,9.0
CLUSTER_019,315123,4,4.0
CLUSTER_019,315221,1,1.0
CLUSTER_019,315223,18,18.0
CLUSTER_019,315225,4,4.0
CLUSTER_019,315229,53,53.0
CLUSTER_019,812210,9,9.0
CLUSTER_020,313111,6,0.30045067601402103
CLUSTER_020,313112,24,1.2018027040560841
CLUSTER_020,313113,31,1.5523284927391086
CLUSTER_020,313210,72,3.605408112168252
CLUSTER_020,313220,8,0.400600901352028
CLUSTER_020,313240,4,0.200300450676014
CLUSTER_020,313310,20,1.0015022533800702
CLUSTER_020,313320,2,0.100150225338007
CLUSTER_020,314120,51,2.553830746119179
CLUSTER_020,314912,25,1.2518778167250877
CLUSTER_020,314991,70,3.5052578868302455
CLUSTER_020,314992,5,0.25037556334501754
CLUSTER_020,314993,10,0.5007511266900351
CLUSTER_020,314999,2,0.100150225338007
CLUSTER_020,315121,27,1.3520280420630946
CLUSTER_020,315123,28,1.4021031547320981
CLUSTER_020,315221,7,0.35052578868302453
CLUSTER_020,315222,1,0.0500751126690035
CLUSTER_020,315223,97,4.85728592889334
CLUSTER_020,315224,15,0.7511266900350526
CLUSTER_020,315225,181,9.063595393089635
CLUSTER_020,315229,116,5.808713069604407
CLUSTER_020,315991,4,0.200300450676014
CLUSTER_020,315999,6,0.30045067601402103
CLUSTER_020,812210,1185,59.339008512769155
CLUSTER_021,313111,1,3.225806451612903
CLUSTER_021,313112,1,3.225806451612903
CLUSTER_021,313210,2,6.451612903225806
CLUSTER_021,313220,1,3.225806451612903
CLUSTER_021,314912,1,3.225806451612903
CLUSTER_021,314991,1,3.225806451612903
CLUSTER_021,314992,1,3.225806451612903
CLUSTER_021,314993,1,3.225806451612903
CLUSTER_021,315223,2,6.451612903225806
CLUSTER_021,315225,4,12.903225806451612
CLUSTER_021,315229,2,6.451612903225806
CLUSTER_021,315991,1,3.225806451612903
