grupo_espacial,scian_3,n,pct_grupo
CLUSTER_004,314,2,7.142857142857143
CLUSTER_004,315,24,85.71428571428571
CLUSTER_004,812,2,7.142857142857143
CLUSTER_005,313,2,6.0606060606060606
CLUSTER_005,315,29,87.87878787878788
CLUSTER_005,812,2,6.0606060606060606
CLUSTER_006,314,12,60.0
CLUSTER_006,315,8,40.0
CLUSTER_007,313,13,13.131313131313131
CLUSTER_007,314,8,8.080808080808081
CLUSTER_007,315,34,34.343434343434346
CLUSTER_007,812,44,44.44444444444444
CLUSTER_008,313,5,1.4836795252225519
CLUSTER_008,314,10,2.9673590504451037
CLUSTER_008,315,295,87.53709198813057
CLUSTER_008,812,27,8.011869436201781
CLUSTER_009,314,1,3.3333333333333335
CLUSTER_009,315,29,96.66666666666667
CLUSTER_010,313,1,0.704225352112676
CLUSTER_010,315,136,95.77464788732394
CLUSTER_010,812,5,3.5211267605633805
CLUSTER_011,314,3,37.5
CLUSTER_011,315,4,50.0
CLUSTER_011,812,1,12.5
CLUSTER_012,313,3,1.3392857142857142
CLUSTER_012,314,11,4.910714285714286
CLUSTER_012,315,194,86.60714285714286
CLUSTER_012,812,16,7.142857142857143
CLUSTER_013,314,10,6.7114093959731544
CLUSTER_013,315,127,85.23489932885906
CLUSTER_013,812,12,8.053691275167786
CLUSTER_014,314,3,21.428571428571427
CLUSTER_014,315,6,42.857142857142854
CLUSTER_014,812,5,35.714285714285715
CLUSTER_015,313,1,1.0869565217391304
CLUSTER_015,314,8,8.695652173913043
CLUSTER_015,315,38,41.30434782608695
CLUSTER_015,812,45,48.91304347826087
CLUSTER_016,313,1,1.9607843137254901
CLUSTER_016,314,5,9.803921568627452
CLUSTER_016,315,37,72.54901960784314
CLUSTER_016,812,8,15.686274509803921
CLUSTER_017,314,1,2.2222222222222223
CLUSTER_017,315,38,84.44444444444444
CLUSTER_017,812,6,13.333333333333334
CLUSTER_018,314,6,18.75
CLUSTER_018,315,13,40.625
CLUSTER_018,812,13,40.625
CLUSTER_019,313,2,2.0
CLUSTER_019,314,9,9.0
CLUSTER_019,315,80,80.0
CLUSTER_019,812,9,9.0
CLUSTER_020,313,167,8.362543815723585
CLUSTER_020,314,163,8.162243365047571
CLUSTER_020,315,482,24.13620430645969
CLUSTER_020,812,1185,59.339008512769155
CLUSTER_021,313,5,16.129032258064516
CLUSTER_021,314,4,12.903225806451612
CLUSTER_021,315,9,29.032258064516128
CLUSTER_021,812,13,41.935483870967744
RUIDO_DISPERSO,313,37,6.401384083044983
RUIDO_DISPERSO,314,70,12.110726643598616
RUIDO_DISPERSO,315,278,48.09688581314879
RUIDO_DISPERSO,812,193,33.391003460207614
