grupo_espacial,cluster,n_dentro_cuenca,n_municipios,n_localidades,probabilidad_media,persistencia_media,municipio_principal,localidad_principal,n__textil,pct__textil,n__mezclilla,pct__mezclilla,n__humedo_explicito,pct__humedo_explicito,n__lavado_generico,pct__lavado_generico,n__produccion,pct__produccion,n__maquila,pct__maquila,n__proceso_seco_explicito,pct__proceso_seco_explicito,n__scian_textil,pct__scian_textil,n__scian_acabado_humedo,pct__scian_acabado_humedo,n__scian_lavanderia,pct__scian_lavanderia,n__actividad_lavanderia_tintoreria,pct__actividad_lavanderia_tintoreria,n__actividad_acabado_textil,pct__actividad_acabado_textil,n__actividad_confeccion,pct__actividad_confeccion,n__actividad_fabricacion_telas,pct__actividad_fabricacion_telas,n__actividad_tejido_hilado,pct__actividad_tejido_hilado,n__actividad_bordado_deshilado,pct__actividad_bordado_deshilado,n__senal_pantalon,pct__senal_pantalon,n__senal_mezclilla_o_pantalon,pct__senal_mezclilla_o_pantalon
CLUSTER_004,4,28,1,3,0.8961417077456995,0.6,Chiautzingo,San Lorenzo Chiautzingo,8,28.57142857142857,2,7.142857142857142,0,0.0,2,7.142857142857142,2,7.142857142857142,17,60.71428571428571,2,7.142857142857142,26,92.85714285714286,0,0.0,2,7.142857142857142,2,7.142857142857142,0,0.0,22,78.57142857142857,0,0.0,2,7.142857142857142,0,0.0,2,7.142857142857142,2,7.142857142857142
CLUSTER_005,5,33,2,2,0.8405638789079702,1.0,San Matías Tlalancaleca,Juárez Coronaco,9,27.27272727272727,0,0.0,0,0.0,2,6.0606060606060606,4,12.121212121212121,21,63.63636363636363,9,27.27272727272727,31,93.93939393939394,0,0.0,2,6.0606060606060606,2,6.0606060606060606,0,0.0,26,78.78787878787878,2,6.0606060606060606,3,9.090909090909092,0,0.0,0,0.0,0,0.0
CLUSTER_006,6,20,1,1,0.9203092587886182,0.8200000000000001,Tlahuapan,Santiago Coltzingo,4,20.0,0,0.0,0,0.0,0,0.0,2,10.0,16,80.0,3,15.0,20,100.0,0,0.0,0,0.0,0,0.0,0,0.0,8,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CLUSTER_007,7,99,1,8,0.5863778391702743,0.987878787878788,Huejotzingo,Huejotzingo,24,24.242424242424242,4,4.040404040404041,5,5.05050505050505,37,37.37373737373738,17,17.17171717171717,3,3.0303030303030303,13,13.131313131313133,55,55.55555555555556,1,1.0101010101010102,44,44.44444444444444,44,44.44444444444444,1,1.0101010101010102,31,31.313131313131315,7,7.07070707070707,8,8.080808080808081,7,7.07070707070707,3,3.0303030303030303,5,5.05050505050505
CLUSTER_008,8,337,1,1,0.8083816388052222,1.0,Huejotzingo,Santa Ana Xalmimilulco,152,45.103857566765576,43,12.759643916913946,5,1.483679525222552,18,5.341246290801187,50,14.836795252225517,188,55.78635014836796,53,15.727002967359049,310,91.98813056379822,4,1.1869436201780417,27,8.011869436201781,27,8.011869436201781,4,1.1869436201780417,289,85.7566765578635,5,1.483679525222552,6,1.7804154302670623,33,9.792284866468842,121,35.90504451038576,137,40.652818991097924
CLUSTER_009,9,30,1,2,0.9379327618017359,0.9733333333333334,Tlahuapan,San Miguel Tianguistenco,5,16.666666666666664,0,0.0,0,0.0,0,0.0,6,20.0,3,10.0,3,10.0,30,100.0,0,0.0,0,0.0,0,0.0,0,0.0,5,16.666666666666664,0,0.0,24,80.0,0,0.0,0,0.0,0,0.0
CLUSTER_010,10,142,1,1,0.9325046522941598,0.9943661971830985,Tlahuapan,San Rafael Ixtapalucan,5,3.5211267605633805,0,0.0,3,2.112676056338028,2,1.4084507042253522,30,21.12676056338028,13,9.15492957746479,2,1.4084507042253522,137,96.47887323943662,1,0.7042253521126761,5,3.5211267605633805,5,3.5211267605633805,1,0.7042253521126761,1,0.7042253521126761,1,0.7042253521126761,135,95.07042253521126,0,0.0,0,0.0,0,0.0
CLUSTER_011,11,8,1,1,0.17202696433230474,0.8,Ocoyucan,San Bernabé Temoxtitla,3,37.5,0,0.0,0,0.0,1,12.5,2,25.0,0,0.0,3,37.5,7,87.5,0,0.0,1,12.5,1,12.5,0,0.0,3,37.5,0,0.0,0,0.0,2,25.0,0,0.0,0,0.0
CLUSTER_012,12,224,2,2,0.8730166850061032,0.9982142857142857,San Matías Tlalancaleca,San Matías Tlalancaleca,147,65.625,19,8.482142857142858,0,0.0,13,5.803571428571429,48,21.428571428571427,56,25.0,109,48.660714285714285,208,92.85714285714286,3,1.3392857142857142,16,7.142857142857142,16,7.142857142857142,3,1.3392857142857142,188,83.92857142857143,3,1.3392857142857142,4,1.7857142857142856,12,5.357142857142857,19,8.482142857142858,31,13.839285714285715
CLUSTER_013,13,149,2,3,0.9103275945811811,0.9973154362416107,San Martín Texmelucan,San Rafael Tlanalapan,79,53.02013422818792,0,0.0,0,0.0,11,7.38255033557047,14,9.395973154362416,55,36.91275167785235,71,47.651006711409394,137,91.94630872483222,0,0.0,12,8.053691275167784,12,8.053691275167784,0,0.0,121,81.20805369127517,0,0.0,5,3.3557046979865772,6,4.026845637583892,0,0.0,0,0.0
CLUSTER_014,14,14,1,2,0.987811920994346,0.4000000000000001,Cuautlancingo,San Lorenzo Almecatla,6,42.857142857142854,0,0.0,2,14.285714285714285,5,35.714285714285715,4,28.57142857142857,0,0.0,6,42.857142857142854,9,64.28571428571429,0,0.0,5,35.714285714285715,5,35.714285714285715,0,0.0,6,42.857142857142854,0,0.0,0,0.0,3,21.428571428571427,0,0.0,0,0.0
CLUSTER_015,15,92,1,1,0.8650454541337637,0.9782608695652174,San Martín Texmelucan,San Martín Texmelucan de Labastida,21,22.82608695652174,0,0.0,6,6.521739130434782,35,38.04347826086957,12,13.043478260869565,11,11.956521739130435,17,18.478260869565215,47,51.08695652173913,0,0.0,45,48.91304347826087,45,48.91304347826087,0,0.0,37,40.21739130434783,1,1.0869565217391304,1,1.0869565217391304,5,5.434782608695652,0,0.0,0,0.0
CLUSTER_016,16,51,1,1,0.8310122680570057,0.9843137254901961,San Martín Texmelucan,Santa María Moyotzingo,11,21.568627450980394,0,0.0,1,1.9607843137254901,8,15.686274509803921,3,5.88235294117647,23,45.09803921568628,9,17.647058823529413,43,84.31372549019608,1,1.9607843137254901,8,15.686274509803921,8,15.686274509803921,1,1.9607843137254901,36,70.58823529411765,1,1.9607843137254901,1,1.9607843137254901,3,5.88235294117647,1,1.9607843137254901,1,1.9607843137254901
CLUSTER_017,17,45,1,1,0.8565571253476746,1.0,San Martín Texmelucan,San Martín Texmelucan de Labastida,11,24.444444444444443,0,0.0,0,0.0,6,13.333333333333334,5,11.11111111111111,8,17.77777777777778,11,24.444444444444443,39,86.66666666666667,0,0.0,6,13.333333333333334,6,13.333333333333334,0,0.0,38,84.44444444444444,0,0.0,0,0.0,1,2.2222222222222223,0,0.0,0,0.0
CLUSTER_018,18,32,1,1,0.8859031026884536,0.96875,Amozoc,Amozoc de Mota,15,46.875,0,0.0,2,6.25,10,31.25,6,18.75,1,3.125,9,28.125,19,59.375,0,0.0,13,40.625,13,40.625,0,0.0,13,40.625,0,0.0,0,0.0,3,9.375,0,0.0,0,0.0
CLUSTER_019,19,100,2,3,0.546267487935742,0.934,San Miguel Xoxtla,San Miguel Xoxtla,39,39.0,1,1.0,1,1.0,8,8.0,35,35.0,44,44.0,23,23.0,91,91.0,0,0.0,9,9.0,9,9.0,0,0.0,76,76.0,2,2.0,4,4.0,10,10.0,0,0.0,1,1.0
CLUSTER_020,20,1997,6,14,0.990121590438606,0.9985978968452679,Puebla,Heroica Puebla de Zaragoza,285,14.271407110665999,3,0.15022533800701052,313,15.673510265398097,871,43.615423134702056,169,8.462694041061592,43,2.1532298447671505,169,8.462694041061592,812,40.660991487230845,20,1.0015022533800702,1185,59.339008512769155,1185,59.339008512769155,20,1.0015022533800702,417,20.881321982974463,106,5.307961942914371,116,5.808713069604407,74,3.7055583375062593,1,0.050075112669003496,4,0.20030045067601399
CLUSTER_021,21,31,1,2,0.8616681366947916,0.9870967741935485,Amozoc,Amozoc de Mota,1,3.225806451612903,0,0.0,2,6.451612903225806,12,38.70967741935484,2,6.451612903225806,1,3.225806451612903,0,0.0,18,58.06451612903226,0,0.0,13,41.935483870967744,13,41.935483870967744,0,0.0,8,25.806451612903224,3,9.67741935483871,2,6.451612903225806,1,3.225806451612903,0,0.0,0,0.0
RUIDO_DISPERSO,-1,578,18,67,0.0,0.7588235294117647,Puebla,Heroica Puebla de Zaragoza,171,29.58477508650519,2,0.34602076124567477,30,5.190311418685121,159,27.508650519031143,78,13.494809688581316,86,14.878892733564014,132,22.837370242214533,385,66.60899653979239,4,0.6920415224913495,193,33.391003460207614,193,33.391003460207614,4,0.6920415224913495,237,41.003460207612456,24,4.1522491349480966,48,8.304498269896193,19,3.2871972318339098,0,0.0,2,0.34602076124567477
