grupo_espacial,CLUSTER_004,CLUSTER_005,CLUSTER_006,CLUSTER_007,CLUSTER_008,CLUSTER_009,CLUSTER_010,CLUSTER_011,CLUSTER_012,CLUSTER_013,CLUSTER_014,CLUSTER_015,CLUSTER_016,CLUSTER_017,CLUSTER_018,CLUSTER_019,CLUSTER_020,CLUSTER_021
CLUSTER_004,0.0,0.11492938225949403,0.24692158704897246,0.37541844006102354,0.07553959838190544,0.2518941449776591,0.31572035080670025,0.25269774585605986,0.08966579556609099,0.042169503089146965,0.31924066868343215,0.3364034968460522,0.07863057017641273,0.0874537217826867,0.3169963101355288,0.0673462352864756,0.5044599313024402,0.4045265752122804
CLUSTER_005,0.11492938225949403,0.0,0.29954827224869907,0.37755002315503283,0.10841052615459729,0.2768212465211126,0.28408062419232105,0.3064762783236946,0.12304909860317961,0.12834427057641065,0.35949340616023406,0.3643012658886862,0.1259462688965341,0.12481307392140838,0.36228465573815105,0.11375435934048056,0.5145982662523201,0.4165034280169727
CLUSTER_006,0.24692158704897246,0.29954827224869907,0.0,0.5006239651044362,0.31682535294183267,0.3966430642780747,0.48082397250388464,0.251463465815839,0.33068695890785976,0.2917691752029662,0.41039703542131434,0.47672425454893225,0.2603412351765505,0.34553142076348514,0.42151521461803165,0.26372302923260027,0.6101795639801254,0.49464318604057034
CLUSTER_007,0.37541844006102354,0.37755002315503283,0.5006239651044362,0.0,0.36731860916280046,0.48727011160446987,0.49870791461354014,0.2963528987930244,0.34285267223670846,0.350915807386043,0.16475467412364606,0.09848138769763845,0.2698493031762118,0.3114545790096471,0.14137812456513005,0.31593756853210114,0.0820113524634749,0.05510968271305749
CLUSTER_008,0.07553959838190544,0.10841052615459729,0.31682535294183267,0.36731860916280046,0.0,0.2919570414561881,0.3290960176992004,0.2808158296207567,0.05959600322255766,0.09612179255714079,0.32744374398911147,0.34736841093055537,0.10893181820847458,0.10240550448573232,0.3281390086719115,0.0868744158425365,0.5078018510607302,0.42560151340017305
CLUSTER_009,0.2518941449776591,0.2768212465211126,0.3966430642780747,0.48727011160446987,0.2919570414561881,0.0,0.09122886201065253,0.35104836190252353,0.26958360560937555,0.26477826009590394,0.45789407734539894,0.505671168933495,0.31276584985607425,0.2867085458376577,0.4712011258622245,0.2681197521045452,0.6104745210333027,0.5067915535793966
CLUSTER_010,0.31572035080670025,0.28408062419232105,0.48082397250388464,0.49870791461354014,0.3290960176992004,0.09122886201065253,0.0,0.42396903994561963,0.3334955599193866,0.3403760562139035,0.5071593691667688,0.5250235351853302,0.36176413261716966,0.3286690834103967,0.5174775141939212,0.32797845745383675,0.6022604417006346,0.5081408884240435
CLUSTER_011,0.25269774585605986,0.3064762783236946,0.251463465815839,0.2963528987930244,0.2808158296207567,0.35104836190252353,0.42396903994561963,0.0,0.2045585792773088,0.1954240168139108,0.14476856699782759,0.28335136764348823,0.20073588964353403,0.22747089691534492,0.1809302126870111,0.18821352386482626,0.4173860211400786,0.3360891766869929
CLUSTER_012,0.08966579556609099,0.12304909860317961,0.33068695890785976,0.34285267223670846,0.05959600322255766,0.26958360560937555,0.3334955599193866,0.2045585792773088,0.0,0.04535332182510485,0.25429711790418563,0.3212265911262136,0.10714396710575814,0.0840696609853301,0.26602477749105335,0.05803339856693761,0.4914434530956673,0.42095136728857974
CLUSTER_013,0.042169503089146965,0.12834427057641065,0.2917691752029662,0.350915807386043,0.09612179255714079,0.26477826009590394,0.3403760562139035,0.1954240168139108,0.04535332182510485,0.0,0.24786015520325036,0.30999109175020856,0.09042040414735454,0.06816384506267846,0.25836786928868916,0.06404238408034618,0.4873536071212612,0.41298801486333236
CLUSTER_014,0.31924066868343215,0.35949340616023406,0.41039703542131434,0.16475467412364606,0.32744374398911147,0.45789407734539894,0.5071593691667688,0.14476856699782759,0.25429711790418563,0.24786015520325036,0.0,0.1141161118669826,0.2242142335769296,0.2504721846994122,0.028925388825575677,0.2445367880158814,0.2255284249433547,0.22022191944120986
CLUSTER_015,0.3364034968460522,0.3643012658886862,0.47672425454893225,0.09848138769763845,0.34736841093055537,0.505671168933495,0.5250235351853302,0.28335136764348823,0.3212265911262136,0.30999109175020856,0.1141161118669826,0.0,0.23340143252562612,0.2701841092657904,0.08226457552089833,0.2927948542093113,0.11093070720611643,0.13773898889931874
CLUSTER_016,0.07863057017641273,0.1259462688965341,0.2603412351765505,0.2698493031762118,0.10893181820847458,0.31276584985607425,0.36176413261716966,0.20073588964353403,0.10714396710575814,0.09042040414735454,0.2242142335769296,0.23340143252562612,0.0,0.09124995462326332,0.22594158900920983,0.05479815458646424,0.38902624857363965,0.2971297808196843
CLUSTER_017,0.0874537217826867,0.12481307392140838,0.34553142076348514,0.3114545790096471,0.10240550448573232,0.2867085458376577,0.3286690834103967,0.22747089691534492,0.0840696609853301,0.06816384506267846,0.2504721846994122,0.2701841092657904,0.09124995462326332,0.0,0.25426926381862547,0.09334652013611901,0.43626650952773016,0.3535501774613912
CLUSTER_018,0.3169963101355288,0.36228465573815105,0.42151521461803165,0.14137812456513005,0.3281390086719115,0.4712011258622245,0.5174775141939212,0.1809302126870111,0.26602477749105335,0.25836786928868916,0.028925388825575677,0.08226457552089833,0.22594158900920983,0.25426926381862547,0.0,0.2572770009440543,0.188697714875628,0.19446647432203895
CLUSTER_019,0.0673462352864756,0.11375435934048056,0.26372302923260027,0.31593756853210114,0.0868744158425365,0.2681197521045452,0.32797845745383675,0.18821352386482626,0.05803339856693761,0.06404238408034618,0.2445367880158814,0.2927948542093113,0.05479815458646424,0.09334652013611901,0.2572770009440543,0.0,0.45811715259331287,0.3665269837578856
CLUSTER_020,0.5044599313024402,0.5145982662523201,0.6101795639801254,0.0820113524634749,0.5078018510607302,0.6104745210333027,0.6022604417006346,0.4173860211400786,0.4914434530956673,0.4873536071212612,0.2255284249433547,0.11093070720611643,0.38902624857363965,0.43626650952773016,0.188697714875628,0.45811715259331287,0.0,0.0932630394689331
CLUSTER_021,0.4045265752122804,0.4165034280169727,0.49464318604057034,0.05510968271305749,0.42560151340017305,0.5067915535793966,0.5081408884240435,0.3360891766869929,0.42095136728857974,0.41298801486333236,0.22022191944120986,0.13773898889931874,0.2971297808196843,0.3535501774613912,0.19446647432203895,0.3665269837578856,0.0932630394689331,0.0
