_id_key,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,categoria_foco_textil,senales_foco_textil,comparacion_mh_foco,fuente_comparacion,nombre_mapa,Name,DENUE,ID DENUE
9811213,9811213,21074315229002691000000000U9,MAQUILA DE PANTALONES,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALONES,,,
10498672,10498672,21074315223000111000000000U3,MAQUILA DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON SIN NOMBRE,,,
11119423,11119423,21074315223000241000000000U8,MAQUILA DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON SIN NOMBRE,,,
10382850,10382850,21074314991000261000000000U9,GILCERJEANS,314991,Santa Ana Xalmimilulco,mezclilla_produccion,mezclilla/jeans,solo_foco,foco_textil,GILCERJEANS,,,
8090633,8090633,21074315229002021000000000U9,MAQUILA DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON SIN NOMBRE,,,
7742857,7742857,21074315229001561000000000U5,MAQUILA DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON SIN NOMBRE,,,
3326137,3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,315229,Santa Ana Xalmimilulco,mezclilla_produccion,mezclilla/jeans; maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON FOSIL JEANS,,,
3427211,3427211,21074315225000041002000000U7,MAQUILA DE PANTALON SIN NOMBRE,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,foco_y_mh,foco_textil,MAQUILA DE PANTALON SIN NOMBRE,,,
3428204,3428204,21074315229000241000000000U5,MAQUILA DE PANTALON DE MESCLILLA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON DE MESCLILLA,,,
11229433,11229433,21074315223000451000000000U3,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10855574,10855574,21074315229002811000000000U3,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10099363,10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Santa Ana Xalmimilulco,mezclilla_produccion,mezclilla/jeans; maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,,
3326339,3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,Santa Ana Xalmimilulco,mezclilla_produccion,mezclilla/jeans; maquila/confeccion,foco_y_mh,foco_textil,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,,
3326083,3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON DE MESCLILLA,,,
3428151,3428151,21074315229001371002000000U9,MAQUILA DE PANTALON DE MESCLILLA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,foco_y_mh,foco_textil,MAQUILA DE PANTALON DE MESCLILLA,,,
9989682,9989682,21074315223001081000000000U7,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
8559472,8559472,21074315229001513101000000U6,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10707389,10707389,21074315223000942000000000U1,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10209551,10209551,21074315223000411000000000U7,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10322242,10322242,21074315223000731000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10109707,10109707,21074315223001171000000000U6,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9878240,9878240,21074315223001182000000000U3,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
11294592,11294592,21074315223000651000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10590391,10590391,21074315223000101000000000U4,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10568758,10568758,21074314991000011000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9935490,9935490,21074315223001231000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9603576,9603576,21074315223001121000000000U1,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10609784,10609784,21074315223000051000000000U1,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
11564756,11564756,21074315223000591000000000U6,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10229937,10229937,21074315223000931000000000U4,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9677908,9677908,21074315223000261000000000U6,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10800240,10800240,21074315223001111000000000U2,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
11311162,11311162,21074315223000321000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10832777,10832777,21074315223000791000000000U2,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10780476,10780476,21074315229002521000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10782403,10782403,21074315223000722000000000U7,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
3326144,3326144,21074315229001331001000000U3,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,foco_y_mh,foco_textil,MAQUILA DE PANTALON,,,
3427964,3427964,21074315229001282002000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
11443003,11443003,21074315229002741000000000U2,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10883025,10883025,21074315223000471000000000U1,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9953332,9953332,21074315223000571000000000U8,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
9720001,9720001,21074315223000872000000000U0,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10626296,10626296,21074315223000662000000000U5,MAQUILA DE PANTALON,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA DE PANTALON,,,
10286307,10286307,21074315223000402000000000U6,MAQUILA A TERCEROS,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA A TERCEROS,,,
9747796,9747796,21074313220000011000000000U3,MANUFACTURA DE ETIQUETA EN PIEL,313220,Santa Ana Xalmimilulco,maquila_confeccion_textil,produccion/confeccion textil,solo_foco,foco_textil,MANUFACTURA DE ETIQUETA EN PIEL,,,
10821911,10821911,21074315223000231000000000U9,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
