id,clee,localidad,etapa_productiva_sugerida,decision_estudio_sugerida,flag_estudio_prioritario
11541569,21074315223001211000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9811213,21074315229002691000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10498672,21074315223000111000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11119423,21074315223000241000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10382850,21074314991000261000000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
8090633,21074315229002021000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
7742857,21074315229001561000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326137,21074315229001301002000000U6,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
3427211,21074315225000041002000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428204,21074315229000241000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11229433,21074315223000451000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10855574,21074315229002811000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10099363,21074315223001011000000000U4,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
3326339,21074315229001291001000000U9,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
3326083,21074315229001261000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428151,21074315229001371002000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9989682,21074315223001081000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8559472,21074315229001513101000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10707389,21074315223000942000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10209551,21074315223000411000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10322242,21074315223000731000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10109707,21074315223001171000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9878240,21074315223001182000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11294592,21074315223000651000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10590391,21074315223000101000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10568758,21074314991000011000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9935490,21074315223001231000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9603576,21074315223001121000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10609784,21074315223000051000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11564756,21074315223000591000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10229937,21074315223000931000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9677908,21074315223000261000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10800240,21074315223001111000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11311162,21074315223000321000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10832777,21074315223000791000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10780476,21074315229002521000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10782403,21074315223000722000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3326144,21074315229001331001000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3427964,21074315229001282002000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11443003,21074315229002741000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10883025,21074315223000471000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9953332,21074315223000571000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9720001,21074315223000872000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10626296,21074315223000662000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10286307,21074315223000402000000000U6,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9747796,21074313220000011000000000U3,Santa Ana Xalmimilulco,fabricacion_textil,incluir_contexto_productivo,False
10821911,21074315223000231000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10865960,21074315223000081000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10381674,21074315223000801000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10295902,21074315229002891000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10676987,21074315223000681000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10264760,21074315223000821000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11129024,21074315223000131000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11515213,21074315229002431000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10676082,21074315223000541000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9655873,21074315223001062000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11185488,21074315223000311000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9890180,21074315229001431000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11528292,21074315229002771000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10494863,21074315229002341000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
