d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica
8089749,21074315229001921000000000U1,DESHEBRADO DE PANTALON SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,AVENIDA,GUADALUPE VICTORIA,CALLE,FRAY JUAN DE ALAMEDA,PROLONGACION,GUADALUPE VICTORIA,AVENIDA,PORFIRIO DIAZ,1508,,,,,,LOCALIDAD,HUEJOTZINGO,,,,74169,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,040,,,,Fijo,19.17098447,-98.40741127,2019-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR
9347738,21074315229002223001000000U1,MAQUILADORA ESTYR BLUE MICHELLE JEANS,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,CAMELIA,PRIVADA,MAGISTERIAL,CALLE,LOS PERALES,CALLE,CARLOS ISMAEL BETANCOURT,,SN,,,,,LOCALIDAD,MAGISTERIAL,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0133,009,2271017175,,,Fijo,19.15536543,-98.40027993,2021-05,True,True,True,True,False,False,True,True,False,True,False,False,INCLUIR,REVISAR
3325807,21074315229001032000000000U7,TEXTILERA DE PANTALON JEANS EMOCIONES,,315229,Confección en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,NINGUNO,PRIVADA,NINGUNO,CALLE,JAIME NUNO,CALLE,AYALA,,SN,,,,,COLONIA,SANTA ELENA,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0114,025,,,,Fijo,19.16438288,-98.42045081,2014-12,True,True,True,True,False,False,True,False,False,True,False,False,INCLUIR,REVISAR
10118182,21074812210000811000000000U3,CLEAN CLOTHES,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,LOS ARCOS,CALLE,FEDERAL MEXICO-PUEBLA,CALLE,NEZAHUALCOYOTL,AVENIDA,CUAUHTEMOC,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,022,2223344842,,,Fijo,19.14838929,-98.40590617,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
11684425,21074812210000701000000000U6,LAVANDERIA,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,JOSE MARIA MORELOS,AVENIDA,MIGUEL JERONIMO MARTINEZ,AVENIDA,5 DE MAYO,CALLE,ALDAMA,,SN,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,012,2225798375,,,Fijo,19.16136267,-98.40656672,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
11499902,21074812210000611000000000U7,LAVANDERIA ATENDERTE ES UN PLACER,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,LA SOLEDAD,CALLE,SALVADOR DIAZ MIRON,CALLE,ANTONIO PLAZA,AVENIDA,MIGUEL HIDALGO,1005,,,,,,BARRIO,SEGUNDO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,015,2271019326,,,Fijo,19.15194958,-98.40893172,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8089588,21074812210000481000000000U5,LAVANDERIA CONE ESPUMA,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,REFORMA,AVENIDA,GUADALUPE VICTORIA,AVENIDA,MIGUEL NEGRETE,CALLE,AYALA,608,,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,005,,,,Fijo,19.16000823,-98.4093101,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
11495272,21074812210000881000000000U6,LAVANDERIA EASY WASH,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,PORFIRIO DIAZ,CALLE,JUVENTINO ROSAS,CALLE,JAIME NUNO,AVENIDA,5 DE MAYO,702,,,,,,BARRIO,TETCERO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,010A,013,,,,Fijo,19.1634221,-98.40752147,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
3419521,21074461110000221010000000U1,LAVANDERIA EL CHINO,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,EL CARMEN,CALLE,CARLOS ISMAEL BETANCOURT,CALLE,CAMELIA,AVENIDA,CUAUHTEMOC,408,,,,,,BARRIO,PRIMERO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,031,,,,Fijo,19.1569117,-98.40311639,2010-07,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8279928,21074812210000541000000000U6,LAVANDERIA EL REHILETE,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,JOSE MARIA MORELOS,CALLE,EMILIANO ZAPATA,AVENIDA,VENUSTIANO CARRANZA,CALLE,NICOLAS BRAVO,850,,,,,,BARRIO,CUARTO BARRIO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,043,,,,Fijo,19.16077465,-98.40040422,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10732265,21074812210000831000000000U1,LAVANDERIA EXPRESES,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,CUAUHTEMOC,CALLE,JUAN DE DIOS PEZA,CALLE,MANUEL ACUÑA,AVENIDA,LOS ARCOS,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,010,2215604915,,,Fijo,19.1524422,-98.40451301,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
11446479,21074812210000791000000000U7,LAVANDERIA FAST & CLEAN,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,MIGUEL NEGRETE,CALLE,AYALA,CALLE,REFORMA,AVENIDA,GUADALUPE VICTORIA,,SN,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,005,2271104710,,,Fijo,19.16140369,-98.4095095,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8271822,21074812210000391000000000U6,LAVANDERIA HUEJOTZINGO,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,JAIME NUNO,CALLE,AYALA,OTRO(ESPECIFIQUE),CANAL,,SN,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0044,019,2271080883,,,Fijo,19.16192653,-98.41208304,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10070109,21074812210000981000000000U4,LAVANDERIA JUQUILITA,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,JUVENTINO ROSAS,CALLE,JAIME NUNO,OTRO(ESPECIFIQUE),CANAL,,SN,,,,,BARRIO,TERCER,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0114,002,2271087378,,,Fijo,19.16464599,-98.41176424,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10042837,21074812210000581000000000U2,LAVANDERIA KARAMELOS,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,MOCTEZUMA,AVENIDA,LA PERLA,AVENIDA,EL CARMEN,CALLE,RANCHO PALACIOS,,SN,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0148,013,,,,Fijo,19.14636816,-98.40382575,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
8776988,21074812210000531000000000U7,LAVANDERIA LA BURBUJA,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,CARLOS B ZETINA,CALLE,JUSTO SIERRA,CALLE,JUAN DE DIOS PEZA,AVENIDA,MIGUEL HIDALGO,808,B,,,,,LOCALIDAD,HUEJOTZINGO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0063,042,,,,Fijo,19.15355451,-98.40708683,2019-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
10816501,21074812210000621000000000U6,LAVANDERIA LA BURBUJA LOCA,,812210,Lavanderías y tintorerías,0 a 5 personas,AVENIDA,20 DE NOVIEMBRE,CALLE,REFORMA,CALLE,16 DE SEPTIEMBRE,AVENIDA,PABLO L SIDAR,,SN,,,,,BARRIO,TERCERO,,,,74160,21,PUEBLA,074,Huejotzingo,0001,Huejotzingo                                                                                                   ,0059,028,,,,Fijo,19.15965814,-98.41232509,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR
