id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,regla_decisiva,terminos_detectados,per_ocu,clasificacion_proceso_hidrico,decision_hidrica_automatica,prioridad_hidrica_produccion,causa_decision_hidrica,en_mh,antecedente_mh,nota_antecedente_mh,direccion_completa,tipo_vial,nom_vial,numero_ext,letra_ext,numero_int,letra_int,tipo_asent,nomb_asent,cod_postal,localidad,municipio,entidad,telefono,correoelec,www,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,actividad_observada,evidencia_textil,evidencia_mezclilla,evidencia_proceso_humedo,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision
7742908,21074311830001391110000000U6,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE REAL DE LA POSTA SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,REAL DE LA POSTA,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271457140,,,19.21997081,-98.37473248,https://www.google.com/maps/search/?api=1&query=CALLE+REAL+DE+LA+POSTA+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21997081%2C-98.37473248,https://www.openstreetmap.org/?mlat=19.2199708&mlon=-98.3747325#map=19/19.2199708/-98.3747325,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8118934,21074315229002071000000000U4,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE NINGUNO 1, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,NINGUNO,1,,,,PUEBLO,SANTA ANA XALMIMINULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271124857,,,19.21184171,-98.38357506,https://www.google.com/maps/search/?api=1&query=CALLE+NINGUNO+1+PUEBLO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21184171%2C-98.38357506,https://www.openstreetmap.org/?mlat=19.2118417&mlon=-98.3835751#map=19/19.2118417/-98.3835751,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
9645802,21074315223001251000000000U6,DESHEBRADO,DESHEBRADO DE PANTALON,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa|pantalon,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE NI�O PERDIDO 1, COLONIA SANTA CRUZ, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,NI�O PERDIDO,1,,,,COLONIA,SANTA CRUZ,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2481769980,,,19.21790672,-98.37946319,https://www.google.com/maps/search/?api=1&query=CALLE+NI%EF%BF%BDO+PERDIDO+1+COLONIA+SANTA+CRUZ+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21790672%2C-98.37946319,https://www.openstreetmap.org/?mlat=19.2179067&mlon=-98.3794632#map=19/19.2179067/-98.3794632,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
10965648,21074315223000881000000000U1,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE TEYUCA SN, COLONIA GUADALUPE, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,TEYUCA,,SN,,,COLONIA,GUADALUPE,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.21811505,-98.37231129,https://www.google.com/maps/search/?api=1&query=CALLE+TEYUCA+SN+COLONIA+GUADALUPE+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21811505%2C-98.37231129,https://www.openstreetmap.org/?mlat=19.2181151&mlon=-98.3723113#map=19/19.2181151/-98.3723113,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11031066,21074315223000271000000000U5,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE NINGUNO SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,NINGUNO,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2212673866,,,19.2132786,-98.36913525,https://www.google.com/maps/search/?api=1&query=CALLE+NINGUNO+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2132786%2C-98.36913525,https://www.openstreetmap.org/?mlat=19.2132786&mlon=-98.3691352#map=19/19.2132786/-98.3691352,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11304210,21074315223000561000000000U9,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"PRIVADA PRIVADA DE LA GLORIA 1, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,PRIVADA DE LA GLORIA,1,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20863774,-98.37699365,https://www.google.com/maps/search/?api=1&query=PRIVADA+PRIVADA+DE+LA+GLORIA+1+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20863774%2C-98.37699365,https://www.openstreetmap.org/?mlat=19.2086377&mlon=-98.3769937#map=19/19.2086377/-98.3769937,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
11530961,21074315223000342000000000U4,DESHEBRADO,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa,6 a 10 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"PRIVADA NINGUNO 35, LOCALIDAD CUARTA SECCION, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",PRIVADA,NINGUNO,35,,,,LOCALIDAD,CUARTA SECCION,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2481000897,,,19.2133537,-98.37415935,https://www.google.com/maps/search/?api=1&query=PRIVADA+NINGUNO+35+LOCALIDAD+CUARTA+SECCION+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2133537%2C-98.37415935,https://www.openstreetmap.org/?mlat=19.2133537&mlon=-98.3741593#map=19/19.2133537/-98.3741593,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
8776861,21074461110008371010000000U6,DESHEBRADO DE PANTALON,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa|pantalon,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE GLORIA 89, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,GLORIA,89,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20787139,-98.37602851,https://www.google.com/maps/search/?api=1&query=CALLE+GLORIA+89+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20787139%2C-98.37602851,https://www.openstreetmap.org/?mlat=19.2078714&mlon=-98.3760285#map=19/19.2078714/-98.3760285,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
9566007,21074315223001311000000000U8,DESHEBRADO DE PANTALON,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa|pantalon,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE GLORIA SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,GLORIA,,SN,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,,,,19.20777613,-98.37572813,https://www.google.com/maps/search/?api=1&query=CALLE+GLORIA+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20777613%2C-98.37572813,https://www.openstreetmap.org/?mlat=19.2077761&mlon=-98.3757281#map=19/19.2077761/-98.3757281,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
9590208,21074315223001201000000000U1,DESHEBRADO DE PANTALON,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,inc_mezclilla_texto,deshebrado|ropa|pantalon,0 a 5 personas,SECO_EXPLICITO,EXCLUIR_SECO,fuera_hidrico,"El nombre declara corte, costura, confección, deshebrado, bordado o ensamble; proceso seco fuera del universo hídrico",False,NO_APARECE_EN_MH,,"CALLE CONCEPCION 3, COLONIA SANTA CRUZ, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,CONCEPCION,3,,,,COLONIA,SANTA CRUZ,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,2271161775,,,19.21873841,-98.3777512,https://www.google.com/maps/search/?api=1&query=CALLE+CONCEPCION+3+COLONIA+SANTA+CRUZ+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21873841%2C-98.3777512,https://www.openstreetmap.org/?mlat=19.2187384&mlon=-98.3777512#map=19/19.2187384/-98.3777512,RESUELTO_AUTOMATICAMENTE,,,,,,,,,,,
