clasificacion_proceso_hidrico,decision_hidrica_automatica,registros
ACABADO_PREPARADO_AMBIGUO,REVISAR,20
MEZCLILLA_DENIM_EXPLICITA,INCLUIR_POR_MEZCLILLA,6
PRODUCCION_SIN_PROCESO_DECLARADO,REVISAR,56
SECO_EXPLICITO,EXCLUIR_SECO,53
