conjunto,registros
universo_canonico_original_santa_ana,38
mh_filtrado,49
mh_filtrado_con_id,43
mh_filtrado_sin_id,6
foco_estricto_alternativo,67
filtrado_prioritario_2026,42
union_comparacion,111
