perfil_comparacion,registros
canonico_2026_no_foco_no_mh,3
canonico_foco_2026_no_mh,27
en_los_4,7
foco_2026_no_canonico_no_mh,1
mh_foco_2026_no_canonico,2
mh_foco_no_canonico_no_2026,2
mh_sin_id,6
solo_canonico_original,1
solo_filtrado_2026,2
solo_foco_estricto,28
solo_mh_filtrado,32
