verificacion,cumple,detalle
matriz_4365,True,
interior_4010,True,
escenarios_57,True,
membresia_completa,True,
solucion_fija_4365,True,
perfilado_interior_4010,True,
clusters_interiores_18,True,
ficha_ruido_unica,True,
atlas_19_imagenes,True,
figuras_finales_11,True,
sensibilidad_sin_cluster_lavanderias_80,True,
documento_reporte_tecnico_parte_2,True,
documento_presentacion_parte_2,True,
documento_atlas_clusters,True,
