grupo_espacial,cluster,n_dentro_cuenca,n_municipios,n_localidades,probabilidad_media,persistencia_media,municipio_principal,localidad_principal,n__textil,pct__textil,n__mezclilla,pct__mezclilla,n__humedo_explicito,pct__humedo_explicito,n__lavado_generico,pct__lavado_generico,n__produccion,pct__produccion,n__maquila,pct__maquila,n__proceso_seco_explicito,pct__proceso_seco_explicito,n__scian_textil,pct__scian_textil,n__scian_acabado_humedo,pct__scian_acabado_humedo,n__scian_lavanderia,pct__scian_lavanderia,n__actividad_lavanderia_tintoreria,pct__actividad_lavanderia_tintoreria,n__actividad_acabado_textil,pct__actividad_acabado_textil,n__actividad_confeccion,pct__actividad_confeccion,n__actividad_fabricacion_telas,pct__actividad_fabricacion_telas,n__actividad_tejido_hilado,pct__actividad_tejido_hilado,n__actividad_bordado_deshilado,pct__actividad_bordado_deshilado,n__senal_pantalon,pct__senal_pantalon,n__senal_mezclilla_o_pantalon,pct__senal_mezclilla_o_pantalon,n,n_lavanderia_tintoreria,pct_lavanderia_tintoreria,n_manufactura_textil,pct_manufactura_textil,tipo_coexistencia_descriptivo,tipo_perfil,n_total_cluster,n_fuera_cuenca,pct_cluster_dentro_cuenca,area_convexa_km2,densidad_convexa_est_km2,cruza_limite_cuenca,rasgos_distintivos
CLUSTER_004,4,28,1,3,0.8961417077456995,0.6,Chiautzingo,San Lorenzo Chiautzingo,8,28.57142857142857,2,7.142857142857142,0,0.0,2,7.142857142857142,2,7.142857142857142,17,60.71428571428571,2,7.142857142857142,26,92.85714285714286,0,0.0,2,7.142857142857142,2,7.142857142857142,0,0.0,22,78.57142857142857,0,0.0,2,7.142857142857142,0,0.0,2,7.142857142857142,2,7.142857142857142,28,2,7.142857142857143,26,92.85714285714286,CONCENTRACION_MANUFACTURA,3.0,28.0,0.0,100.0,9.27452737631106,3.019021764011115,False,maquila (lift 4.13) | actividad_confeccion (lift 2.02) | scian_textil (lift 1.54)
CLUSTER_005,5,33,2,2,0.8405638789079702,1.0,San Matías Tlalancaleca,Juárez Coronaco,9,27.27272727272727,0,0.0,0,0.0,2,6.0606060606060606,4,12.12121212121212,21,63.63636363636363,9,27.27272727272727,31,93.93939393939394,0,0.0,2,6.0606060606060606,2,6.0606060606060606,0,0.0,26,78.78787878787878,2,6.0606060606060606,3,9.090909090909092,0,0.0,0,0.0,0,0.0,33,2,6.0606060606060606,31,93.93939393939394,CONCENTRACION_MANUFACTURA,3.0,33.0,0.0,100.0,1.4184133524790898,23.265432423011884,False,maquila (lift 4.33) | actividad_confeccion (lift 2.02) | scian_textil (lift 1.55)
CLUSTER_006,6,20,1,1,0.9203092587886182,0.8200000000000001,Tlahuapan,Santiago Coltzingo,4,20.0,0,0.0,0,0.0,0,0.0,2,10.0,16,80.0,3,15.0,20,100.0,0,0.0,0,0.0,0,0.0,0,0.0,8,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,0,0.0,20,100.0,CONCENTRACION_MANUFACTURA,4.0,20.0,0.0,100.0,0.4047217342093094,49.41666905799683,False,maquila (lift 5.45) | scian_textil (lift 1.65)
CLUSTER_007,7,99,1,8,0.5863778391702743,0.987878787878788,Huejotzingo,Huejotzingo,24,24.24242424242424,4,4.040404040404041,5,5.05050505050505,37,37.37373737373738,17,17.17171717171717,3,3.0303030303030303,13,13.131313131313131,55,55.55555555555556,1,1.0101010101010102,44,44.44444444444444,44,44.44444444444444,1,1.0101010101010102,31,31.313131313131315,7,7.07070707070707,8,8.080808080808081,7,7.07070707070707,3,3.0303030303030303,5,5.05050505050505,99,44,44.44444444444444,55,55.55555555555556,COEXISTENCIA_MIXTA,1.0,99.0,0.0,100.0,13.435050351748284,7.368785185618398,False,Sin rasgos que cumplan todos los umbrales conservadores
CLUSTER_008,8,337,1,1,0.8083816388052222,1.0,Huejotzingo,Santa Ana Xalmimilulco,152,45.103857566765576,43,12.759643916913946,5,1.483679525222552,18,5.341246290801187,50,14.836795252225516,188,55.78635014836796,53,15.727002967359049,310,91.98813056379822,4,1.1869436201780417,27,8.011869436201781,27,8.011869436201781,4,1.1869436201780417,289,85.7566765578635,5,1.483679525222552,6,1.7804154302670625,33,9.792284866468842,121,35.90504451038576,137,40.65281899109792,337,27,8.011869436201781,310,91.98813056379822,CONCENTRACION_MANUFACTURA,3.0,337.0,0.0,100.0,4.696061720849396,71.76225953415396,False,senal_mezclilla_o_pantalon (lift 8.91) | senal_pantalon (lift 9.79) | maquila (lift 3.80) | actividad_confeccion (lift 2.20) | scian_textil (lift 1.52)
CLUSTER_009,9,30,1,2,0.937932761801736,0.9733333333333334,Tlahuapan,San Miguel Tianguistenco,5,16.666666666666664,0,0.0,0,0.0,0,0.0,6,20.0,3,10.0,3,10.0,30,100.0,0,0.0,0,0.0,0,0.0,0,0.0,5,16.666666666666664,0,0.0,24,80.0,0,0.0,0,0.0,0,0.0,30,0,0.0,30,100.0,CONCENTRACION_MANUFACTURA,2.0,30.0,0.0,100.0,0.9362920044693956,32.04128611244656,False,actividad_tejido_hilado (lift 8.94) | scian_textil (lift 1.65)
CLUSTER_010,10,142,1,1,0.9325046522941598,0.9943661971830984,Tlahuapan,San Rafael Ixtapalucan,5,3.5211267605633805,0,0.0,3,2.112676056338028,2,1.4084507042253522,30,21.12676056338028,13,9.15492957746479,2,1.4084507042253522,137,96.47887323943662,1,0.7042253521126761,5,3.5211267605633805,5,3.5211267605633805,1,0.7042253521126761,1,0.7042253521126761,1,0.7042253521126761,135,95.07042253521126,0,0.0,0,0.0,0,0.0,142,5,3.5211267605633805,137,96.47887323943662,CONCENTRACION_MANUFACTURA,2.0,142.0,0.0,100.0,1.5571686815140715,91.1911481946388,False,actividad_tejido_hilado (lift 10.62) | scian_textil (lift 1.60) | produccion (lift 1.73)
CLUSTER_011,11,8,1,1,0.1720269643323047,0.8,Ocoyucan,San Bernabé Temoxtitla,3,37.5,0,0.0,0,0.0,1,12.5,2,25.0,0,0.0,3,37.5,7,87.5,0,0.0,1,12.5,1,12.5,0,0.0,3,37.5,0,0.0,0,0.0,2,25.0,0,0.0,0,0.0,8,1,12.5,7,87.5,CONCENTRACION_MANUFACTURA,3.0,48.0,40.0,16.666666666666668,2.921893452948477,16.42770373832875,True,Sin rasgos que cumplan todos los umbrales conservadores
CLUSTER_012,12,224,2,2,0.8730166850061032,0.9982142857142856,San Matías Tlalancaleca,San Matías Tlalancaleca,147,65.625,19,8.482142857142858,0,0.0,13,5.803571428571429,48,21.428571428571427,56,25.0,109,48.660714285714285,208,92.85714285714286,3,1.3392857142857142,16,7.142857142857142,16,7.142857142857142,3,1.3392857142857142,188,83.92857142857143,3,1.3392857142857142,4,1.7857142857142856,12,5.357142857142857,19,8.482142857142858,31,13.839285714285715,224,16,7.142857142857143,208,92.85714285714286,CONCENTRACION_MANUFACTURA,3.0,224.0,0.0,100.0,3.246117359166667,69.00551496311414,False,textil (lift 2.64) | actividad_confeccion (lift 2.15) | proceso_seco_explicito (lift 3.03) | scian_textil (lift 1.54) | senal_mezclilla_o_pantalon (lift 3.03)
CLUSTER_013,13,149,2,3,0.9103275945811812,0.9973154362416108,San Martín Texmelucan,San Rafael Tlanalapan,79,53.02013422818792,0,0.0,0,0.0,11,7.38255033557047,14,9.395973154362416,55,36.91275167785235,71,47.651006711409394,137,91.94630872483222,0,0.0,12,8.053691275167784,12,8.053691275167784,0,0.0,121,81.20805369127517,0,0.0,5,3.355704697986577,6,4.026845637583892,0,0.0,0,0.0,149,12,8.053691275167786,137,91.94630872483222,CONCENTRACION_MANUFACTURA,3.0,149.0,0.0,100.0,4.253721980910087,35.02814727165628,False,actividad_confeccion (lift 2.08) | proceso_seco_explicito (lift 2.97) | textil (lift 2.13) | scian_textil (lift 1.52) | maquila (lift 2.51)
CLUSTER_014,14,14,1,2,0.987811920994346,0.4000000000000001,Cuautlancingo,San Lorenzo Almecatla,6,42.85714285714285,0,0.0,2,14.285714285714285,5,35.714285714285715,4,28.57142857142857,0,0.0,6,42.85714285714285,9,64.28571428571429,0,0.0,5,35.714285714285715,5,35.714285714285715,0,0.0,6,42.85714285714285,0,0.0,0,0.0,3,21.428571428571427,0,0.0,0,0.0,14,5,35.714285714285715,9,64.28571428571429,COEXISTENCIA_MIXTA,1.0,14.0,0.0,100.0,2.0881687690561392,6.704438935904619,False,proceso_seco_explicito (lift 2.67)
CLUSTER_015,15,92,1,1,0.8650454541337637,0.9782608695652174,San Martín Texmelucan,San Martín Texmelucan de Labastida,21,22.82608695652174,0,0.0,6,6.521739130434782,35,38.04347826086957,12,13.043478260869565,11,11.956521739130435,17,18.47826086956521,47,51.08695652173913,0,0.0,45,48.91304347826087,45,48.91304347826087,0,0.0,37,40.21739130434783,1,1.0869565217391304,1,1.0869565217391304,5,5.434782608695652,0,0.0,0,0.0,92,45,48.91304347826087,47,51.08695652173913,COEXISTENCIA_MIXTA,1.0,92.0,0.0,100.0,2.63475084603274,34.917912689364336,False,Sin rasgos que cumplan todos los umbrales conservadores
CLUSTER_016,16,51,1,1,0.8310122680570057,0.984313725490196,San Martín Texmelucan,Santa María Moyotzingo,11,21.568627450980397,0,0.0,1,1.96078431372549,8,15.68627450980392,3,5.88235294117647,23,45.09803921568628,9,17.647058823529413,43,84.31372549019608,1,1.96078431372549,8,15.68627450980392,8,15.68627450980392,1,1.96078431372549,36,70.58823529411765,1,1.96078431372549,1,1.96078431372549,3,5.88235294117647,1,1.96078431372549,1,1.96078431372549,51,8,15.68627450980392,43,84.31372549019608,CONCENTRACION_MANUFACTURA,3.0,51.0,0.0,100.0,1.1339373209677313,44.976030911898455,False,maquila (lift 3.07) | actividad_confeccion (lift 1.81) | scian_textil (lift 1.39)
CLUSTER_017,17,45,1,1,0.8565571253476746,1.0,San Martín Texmelucan,San Martín Texmelucan de Labastida,11,24.444444444444443,0,0.0,0,0.0,6,13.333333333333334,5,11.11111111111111,8,17.77777777777778,11,24.444444444444443,39,86.66666666666667,0,0.0,6,13.333333333333334,6,13.333333333333334,0,0.0,38,84.44444444444444,0,0.0,0,0.0,1,2.2222222222222223,0,0.0,0,0.0,45,6,13.333333333333334,39,86.66666666666667,CONCENTRACION_MANUFACTURA,3.0,45.0,0.0,100.0,0.4738497712404117,94.9668074803583,False,actividad_confeccion (lift 2.17) | scian_textil (lift 1.43)
CLUSTER_018,18,32,1,1,0.8859031026884536,0.96875,Amozoc,Amozoc de Mota,15,46.875,0,0.0,2,6.25,10,31.25,6,18.75,1,3.125,9,28.125,19,59.375,0,0.0,13,40.625,13,40.625,0,0.0,13,40.625,0,0.0,0,0.0,3,9.375,0,0.0,0,0.0,32,13,40.625,19,59.375,COEXISTENCIA_MIXTA,1.0,32.0,0.0,100.0,4.553237485224187,7.027966387398838,False,textil (lift 1.89)
CLUSTER_019,19,100,2,3,0.546267487935742,0.934,San Miguel Xoxtla,San Miguel Xoxtla,39,39.0,1,1.0,1,1.0,8,8.0,35,35.0,44,44.0,23,23.0,91,91.0,0,0.0,9,9.0,9,9.0,0,0.0,76,76.0,2,2.0,4,4.0,10,10.0,0,0.0,1,1.0,100,9,9.0,91,91.0,CONCENTRACION_MANUFACTURA,3.0,100.0,0.0,100.0,6.977009477424834,14.332788327658877,False,actividad_confeccion (lift 1.95) | maquila (lift 3.00) | produccion (lift 2.87) | scian_textil (lift 1.51) | textil (lift 1.57)
