senal,n_agrupado,prevalencia_agrupado,n_ruido,prevalencia_ruido,diferencia_agrupado_menos_ruido,odds_ratio,p_fisher,p_ajustada_bh
textil,825,0.2403846153846154,171,0.2958477508650519,-0.05546313548043649,0.7532015693241543,0.004938566148021621,0.009877132296043242
mezclilla,72,0.02097902097902098,2,0.0034602076124567475,0.01751881336656423,6.171428571428572,0.001312731546947029,0.0029536459806308152
humedo_explicito,340,0.09906759906759907,30,0.05190311418685121,0.04716448488074786,2.0086244070720136,0.00017652315819357856,0.0007943542118711035
lavado_generico,1041,0.30332167832167833,159,0.2750865051903114,0.02823517313136692,1.147329214112671,0.18495629502753222,0.30265575549959817
produccion,411,0.11975524475524475,78,0.13494809688581316,-0.01519285213056841,0.8721004252285285,0.30294281556039804,0.41945928308362807
maquila,503,0.14656177156177155,86,0.14878892733564014,-0.0022271557738685888,0.9824608764003906,0.8989331847240496,0.8989331847240495
proceso_seco_explicito,512,0.14918414918414918,132,0.22837370242214533,-0.07918955323799615,0.5924449979244499,3.993530237590574e-06,2.396118142554344e-05
scian_textil,2039,0.5941142191142191,385,0.6660899653979239,-0.07197574628370473,0.7337746245140359,0.0010856061918595589,0.0027915587790674373
scian_acabado_humedo,30,0.008741258741258742,4,0.006920415224913495,0.0018208435163452469,1.2654320987654322,0.8094883618928228,0.8571053243571065
scian_lavanderia,1393,0.40588578088578087,193,0.33391003460207613,0.07197574628370473,1.362816274359828,0.0010856061918595589,0.0027915587790674373
actividad_lavanderia_tintoreria,1393,0.40588578088578087,193,0.33391003460207613,0.07197574628370473,1.362816274359828,0.0010856061918595589,0.0027915587790674373
actividad_acabado_textil,30,0.008741258741258742,4,0.006920415224913495,0.0018208435163452469,1.2654320987654322,0.8094883618928228,0.8571053243571065
actividad_confeccion,1325,0.38607226107226106,237,0.4100346020761246,-0.02396234100386352,0.9048099663768951,0.2890088214852734,0.41945928308362807
actividad_fabricacion_telas,131,0.03817016317016317,24,0.04152249134948097,-0.0033523281793177984,0.9160607896596991,0.7260631467724687,0.8571053243571065
actividad_tejido_hilado,311,0.09061771561771562,48,0.08304498269896193,0.007572732918753683,1.1002750186905905,0.6364422064020803,0.8182828368026746
actividad_bordado_deshilado,160,0.046620046620046623,19,0.0328719723183391,0.013748074301707526,1.4386822802728092,0.15681639481738371,0.2822695106712907
senal_pantalon,147,0.04283216783216783,0,0.0,0.04283216783216783,inf,1.4742049199882602e-10,1.8357063521908132e-09
senal_mezclilla_o_pantalon,181,0.052738927738927736,2,0.0034602076124567475,0.04927872012647099,16.03445093817287,2.0396737246564592e-10,1.8357063521908132e-09
