escenario_a,escenario_b,ari
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-leaf,0.08610442702247201
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-eom,0.10228746179477359
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-5__cluster_selection_method-leaf,0.050452284187035325
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,0.37708401021793864
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-leaf,0.06908873030806201
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,0.3662401704260612
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-leaf,0.14159434289773717
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-eom,0.46104779687573144
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-leaf,0.05347980661739829
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-eom,0.37625280961771246
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-leaf,0.08215165570684867
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-eom,0.3717213721129773
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-leaf,0.14403709517084956
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-eom,0.45675855514545993
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-leaf,0.14217205412223086
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-eom,0.433867946932559
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-leaf,0.1346065554866756
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-eom,0.4067661438998371
dbscan__eps_m-250__min_samples-15,hdbscan__min_cluster_size-50__min_samples-20__cluster_selection_method-leaf,0.3635855183413301
