escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac,bbox_mediana_km,bbox_max_km,chaining_proxy_max,ari_mediana_mismo_metodo,ari_top5_mismo_metodo,ari_perturbacion_25m,puntaje_espacial,rol
dbscan__eps_m-600__min_samples-15,DBSCAN,600.0,15,4365,34,1123,25.72737686139748,6,34.5,95.3529411764706,980,22.45131729667812,,,,,,,1.9805184315206912,16.16064319011526,0.5162328104745253,0.33246960683988686,0.6016300180896659,0.9023901288189974,0.8249194612666197,NO_SELECCIONADO
dbscan__eps_m-800__min_samples-25,DBSCAN,800.0,25,4365,23,1216,27.857961053837343,26,61.0,136.91304347826087,969,22.19931271477663,,,,,,,2.730944927470097,17.165487255078972,0.5514348978322312,0.32716091818236653,0.5753610138697319,0.9683583142077402,0.8211112110982979,NO_SELECCIONADO
hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,40,2227,51.01947308132875,20,43.0,53.45,224,5.131729667812143,20.0,leaf,0.8657473478098875,75.67820392890552,,,2.362139985977992,6.4670888621153315,1.222164916836632,0.2400743443472648,0.6588308368619865,0.81755588429893,0.8202859773296185,NO_SELECCIONADO
hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,34,2230,51.08820160366552,30,48.0,62.794117647058826,224,5.131729667812143,30.0,leaf,0.8793111439213799,76.95550351288057,,,3.0034182456183323,6.008975076676262,0.8357578759967788,0.23349087096003215,0.6513587657621385,0.8125490129755105,0.8191557846299597,NO_SELECCIONADO
dbscan__eps_m-600__min_samples-10,DBSCAN,600.0,10,4365,40,583,13.356242840778924,7,28.5,94.55,1200,27.491408934707906,,,,,,,2.0374716062840474,18.511431092078933,0.5830927696144744,0.40613905151989543,0.6122298663279839,0.9220445112873236,0.8157329874854605,NO_SELECCIONADO
hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,57,1885,43.184421534937,20,36.0,43.50877192982456,112,2.5658648339060712,20.0,leaf,0.903686865983357,83.10483870967742,,,2.038916123605999,11.022965778561465,1.8371609630935775,0.23033941000737815,0.6218514584021811,0.7645993265118026,0.8101480039700372,NO_SELECCIONADO
hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,42,1815,41.580756013745706,30,54.0,60.71428571428572,112,2.5658648339060712,30.0,leaf,0.9054039802663274,85.45098039215686,,,2.9877163360955765,11.022965778561465,1.8371609630935775,0.25190791988493927,0.6145315779451543,0.7654938945020766,0.8101031581241486,NO_SELECCIONADO
dbscan__eps_m-400__min_samples-25,DBSCAN,400.0,25,4365,12,3133,71.77548682703322,25,54.0,102.66666666666669,334,7.651775486827034,,,,,,,1.3791471136452391,3.208578709892013,0.22205111769013605,0.43519726865527647,0.708739957287778,0.9695772339280669,0.8087693377637716,NO_SELECCIONADO
dbscan__eps_m-250__min_samples-10,DBSCAN,250.0,10,4365,31,2884,66.07101947308132,10,19.0,47.774193548387096,327,7.491408934707904,,,,,,,0.747474322755561,2.8746518128287026,0.2247901355198528,0.4222469862767323,0.6975117710835098,0.9212424133628102,0.8055845412282036,NO_SELECCIONADO
dbscan__eps_m-250__min_samples-15,DBSCAN,250.0,15,4365,14,3232,74.04352806414663,15,31.0,80.92857142857143,320,7.331042382588774,,,,,,,0.883522790911389,2.7824459370180095,0.18340107311816425,0.38597338461095276,0.6959605730087642,0.9585106950888488,0.7985955413706131,NO_SELECCIONADO
dbscan__eps_m-400__min_samples-15,DBSCAN,400.0,15,4365,29,2540,58.1901489117984,15,34.0,62.93103448275862,335,7.674684994272623,,,,,,,1.3701489177259414,3.3730271654860333,0.30402297864916095,0.4198280337891184,0.64347700614116,0.9273531865915491,0.7967085570774988,NO_SELECCIONADO
hdbscan__min_cluster_size-30__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,47,1427,32.69186712485681,30,58.0,62.51063829787234,132,3.0240549828178693,30.0,leaf,0.9030975525037174,82.50510551395507,,,3.300219708819518,9.013915199904007,1.523629756592184,0.27596098876425673,0.5566877015392442,0.6796881605072723,0.7932374193734031,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-leaf,HDBSCAN,,20,4365,53,2413,55.28064146620848,11,33.0,36.83018867924528,100,2.290950744558992,10.0,leaf,0.8601973451372575,74.64139344262296,,,1.8228392003863434,6.4670888621153315,1.222164916836632,0.19673549750376174,0.5897905110295024,0.8389892799594801,0.7883831032338618,NO_SELECCIONADO
dbscan__eps_m-600__min_samples-25,DBSCAN,600.0,25,4365,27,2271,52.02749140893472,27,47.0,77.55555555555556,336,7.697594501718213,,,,,,,1.8321656372183415,4.286511188734989,0.35358318326504434,0.3832655779559881,0.5743723969412085,0.9531303235123533,0.7821772701899343,NO_SELECCIONADO
