municipio_nombre,actividad_codigo,actividad_nombre,ue,h001a,h020a,h010a,k000a,m000a,a111a,a131a,m700a,personal_promedio,proporcion_familiar,proporcion_remunerado,ingresos_por_ue,produccion_por_ue,valor_agregado_por_ue,maquila_sobre_ingresos
Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,21.0,1233.0,8.0,1225.0,1167.567,1614.441,1601.1100000000001,460.63399999999996,61.355999999999995,58.714285714285715,0.006488240064882401,0.9935117599351176,76.87814285714286,76.24333333333334,21.934952380952378,0.03800448576318366
Huejotzingo,314,"Fabricación de productos textiles, excepto prendas de vestir",22.0,91.0,31.0,58.0,16.506,24.035,26.145,9.639,0.755,4.136363636363637,0.34065934065934067,0.6373626373626373,1.0925,1.188409090909091,0.4381363636363636,0.031412523403370085
Puebla total,313,Fabricación de insumos textiles y acabado de textiles,3137.0,13114.0,4044.0,9013.0,6134.495,9470.394,9176.809,3381.621,869.904,4.180427159706726,0.30837273143205735,0.6872807686441971,3.0189333758367867,2.925345553076187,1.0779792795664649,0.09185510127667339
Puebla total,315,Fabricación de prendas de vestir,7040.0,45237.0,9905.0,35006.0,6210.269,12245.194,12102.045999999998,5960.011,5416.946,6.425710227272727,0.21895793266573824,0.7738355770718659,1.7393741477272726,1.7190406249999999,0.8465924715909091,0.4423732282232523
San Martín Texmelucan,314,"Fabricación de productos textiles, excepto prendas de vestir",28.0,70.0,38.0,32.0,7.287,13.335,12.932,5.645,0.546,2.5,0.5428571428571428,0.45714285714285713,0.47625,0.46185714285714285,0.20160714285714285,0.04094488188976378
San Martín Texmelucan,315,Fabricación de prendas de vestir,321.0,1050.0,497.0,532.0,76.075,170.178,164.247,88.172,41.275999999999996,3.2710280373831777,0.47333333333333333,0.5066666666666667,0.5301495327102803,0.5116728971962617,0.2746791277258567,0.24254604002867583
