_id_key,id,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad_id_analisis,localidad_analisis,decision_clasificacion,categoria_clasificacion,regla_decisiva,explicacion_decision,en_universo_independiente,regla_refinamiento,decision_refinada,prioridad_refinada,motivo_refinamiento,en_mh_filtrado,en_canonico_original,perfil_comparacion
3326123,3326123,CORTE DE PANTALON SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11073004,11073004,CORTE DE PANTALON,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
8271528,8271528,DESHEBRADO DE PANTALON SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
8089385,8089385,DESHEBRADO SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11137575,11137575,BORDADOS,314991,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
10178860,10178860,BORDADORA SIN NOMBRE,314991,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 1 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
9827043,9827043,BORDADO DE SERVILLETAS,314991,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
10939082,10939082,CREACIONES MARY,315223,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 0 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11304210,11304210,DESHEBRADO,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11539121,11539121,DESHEBRA PANTALONES,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 1 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
8089451,8089451,DESEBRADORA SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 1 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
10122585,10122585,ALEJANDRO GARITA JUAREZ,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
3326133,3326133,DESEBRADO DE BLUSA SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,True,False,independiente_y_mh
3326283,3326283,DISE�O DE ROPA A LA MEDIDA,315225,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
8559589,8559589,BORDADOS SOLIS,314991,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
9926222,9926222,BORDADO,314991,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 1 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11221708,11221708,BOLSA TRACERA,315223,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 0 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
10947392,10947392,DESHEBRADORA,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 1 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
8088969,8088969,DESHEBRADO DE PANTALON SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11197761,11197761,DESHEBRADO DE PANTALON SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
10483301,10483301,DESHEBRADO DE PANTALON SIN NOMBRE,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,inc_mezclilla_texto,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 3 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
11382766,11382766,ARTEMIO GARCIA SERRANO,315229,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,INCLUIR_MEDIA,produccion_textil,base_saic_textil,INCLUIR_MEDIA: Manufactura textil por SCIAN o texto productivo; regla decisiva base_saic_textil; 1 coincidencias SCIAN y 2 coincidencias textuales.,True,conservar_universo_productivo,RETENER,media,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,False,False,solo_independiente
