perfil_comparacion,registros
2026_union_no_estricto_no_mh,5
en_los_4,9
estricto_2026_union_no_mh,28
estricto_y_mh_no_2026,2
mh_sin_id,6
mh_union_no_estricto_no_2026,32
solo_estricto,28
union_no_estricto_no_2026_no_mh,1
